table	rows	bytes
access_request	0	97
ai_config	1	638
ai_conversation	11	1735
ai_message	2	67898
anomaly_alert	0	91
api_audit_log	0	71
api_key_project_scopes	0	78
api_keys	0	119
app_cai_dat	1	90
audit_log	10408	32665607
auth_event_log	0	64
backup_lich_su	0	119
ban_giao	0	362
bang_cot_tuy_chinh	14	7715
bao_cao_annotation	0	77
bao_tri	0	341
bao_tri_chinh_sach	0	277
canh_bao_het_han_log	11	1390
cay_node_edit	35	6374
cay_thay_doi	14	22317
change_request	0	128
chung_chi_thiet_bi	0	95
cong_viec_bao_tri	0	331
conversation_participant	6	821
conversations	3	464
dinh_nghia_truong	0	117
dm_dac_tinh	11	1587
dm_danh_gia_nien_han	3	488
dm_don_vi	13	2067
dm_he_thong	96	72976
dm_loai_ban_quyen	6	1006
dm_loai_giay_phep	2	347
dm_loai_lien_ket	4	994
dm_loai_thiet_bi	16	2543
dm_model	293	89162
dm_model_dac_tinh	0	32
dm_nha_cung_cap	0	79
dm_nha_san_xuat	67	24060
dm_nhom_he_thong	15	2832
dm_noi_cap	0	79
dm_phan_loai	3	423
dm_to_chuc	8	1706
dm_trang_thai_thiet_bi	6	1076
dm_vi_tri	58	10243
dong_gop_diem	0	74
dossier_documents	0	110
dot_bao_duong	0	80
dot_bao_duong_audit_log	0	69
dot_bao_duong_bien_ban	0	45
dot_bao_duong_han		57
dot_bao_duong_hang_muc	0	245
dot_bao_duong_su_co	0	55
dot_bao_duong_tep	0	58
du_an	2	742
du_an_bao_cao	0	149
du_an_cong_van	4	1487
du_an_cong_van_lien_ket	0	65
du_an_cong_van_tep	0	103
du_an_cong_viec	4	1326
du_an_cong_viec_binh_luan	0	55
du_an_cong_viec_checklist	0	76
du_an_cong_viec_phoi_hop	0	39
du_an_cong_viec_tep	0	98
du_an_moc	1	414
du_an_su_kien	12	3841
du_an_thanh_vien	1	229
feature_usage_log	0	54
field_set	0	46
field_set_item	0	55
form_check_item	123	41871
form_field	56	12172
form_section	15	2763
form_sign_otp	0	103
form_submission	1	1225
form_submission_item_result	0	284
form_submission_signature	0	120
form_submission_thiet_bi	0	42
form_template	19	4937
form_template_he_thong	4	602
form_template_include	0	82
form_template_version	13	21755
gan_chuc_nang	848	193322
gan_linh_kien	0	123
giay_phep_khai_thac	103	193672
he_thong_thanh_phan	1185	419014
he_thong_truong	0	114
hong_hoc	0	584
import_alias	0	115
import_batch	2	732
import_item	1806	1104082
kho	2	393
kho_giao_dich	2	646
kiem_ke	0	96
lean_ux_canvases	0	172
lien_ket_he_thong	5	1872
lien_ket_khe	0	188
luu_tru_health_log	0	79
messages	0	89
model_tai_lieu	0	132
nhan_vien	624	115104
nhat_ky_he_thong	0	64
nhiem_vu_nhap_lieu	0	89
node_note	0	63
notifications	48	11197
ocr_artifact	0	265
ocr_runtime_profile_stats	0	203
phan_mem_ban_quyen	0	212
phan_mem_ban_quyen_cap_phat	0	105
phan_mem_ban_quyen_tep	0	113
pitch_scopes	0	65
pitches	0	79
pm_cong_viec	0	179
profiles	17	2487
project_dossiers	0	42
r2_access_log	0	77
r2_cau_hinh	1	207
r2_file	0	101
role_permission	687	38722
search_index	1044	558827
so_do_he_thong	1	986
so_do_tep_dinh_kem	0	68
so_do_thu_vien_hinh	0	44
su_co	0	618
su_co_lich_su	0	87
supabase_ngoai	0	125
supabase_ngoai_job	0	112
supabase_ngoai_job_bang	0	93
system_signing_key	1	318
tai_lieu_ocr	0	227
tai_lieu_ocr_link	0	65
telegram_da_gui	0	40
telegram_subscriber	0	110
thiet_bi	832	964333
thiet_bi_cap_phat	0	92
thiet_bi_do_dac	0	86
thiet_bi_he_thong_tuong_thich	0	68
thiet_bi_ket_noi	0	123
thiet_bi_khe_linh_kien	0	166
thiet_bi_tep_dinh_kem	0	119
thiet_bi_vong_doi	45	10667
thong_bao	24	10859
thong_bao_cau_hinh	1	216
thong_bao_email_queue	0	87
ticket_comment	0	41
tickets	0	170
user_layout_prefs	11	3038
user_pinned	0	36
user_recent	0	29
user_roles	16	1824
user_scope	9	1256
van_de	0	157
vat_tu	1	284
vi_tri_media	1	390
webauthn_credentials	0	113
weekly_report_import	0	241
