id,khoa,loai,thiet_bi_id,ngay_het_han,nguong,so_nguoi_nhan,created_at
8bd747c1-b473-4cba-a062-108ddf6f5e3b,giay_phep|-|2026-07-25|30,giay_phep,,2026-07-25,30,3,2026-07-15 01:00:00.241707+00
b5cf809a-9919-441b-9576-c9558bf3ef16,giay_phep|-|2026-08-15|60,giay_phep,,2026-08-15,60,3,2026-07-15 01:00:00.241707+00
a1204c01-5860-48b3-b134-43e8cdb36482,giay_phep|-|2026-10-01|90,giay_phep,,2026-10-01,90,3,2026-07-15 01:00:00.241707+00
eab2d354-bb76-43ec-8120-2fa7b21702fd,giay_phep|-|2026-08-14|30,giay_phep,,2026-08-14,30,3,2026-07-15 01:00:00.241707+00
81491144-09d1-4417-a144-defb7ca13367,giay_phep|-|2026-09-24|90,giay_phep,,2026-09-24,90,3,2026-07-15 01:00:00.241707+00
2297ad3a-daf9-4ac9-9370-d94979c62297,giay_phep|-|2026-07-23|30,giay_phep,,2026-07-23,30,3,2026-07-15 01:00:00.241707+00
f4972368-84e4-461b-8585-b28f0877628c,giay_phep|-|2026-09-12|60,giay_phep,,2026-09-12,60,3,2026-07-15 01:00:00.241707+00
8fd23c79-b4aa-4015-ac8a-ed22e9c15ddd,giay_phep|-|2026-10-05|90,giay_phep,,2026-10-05,90,3,2026-07-15 01:00:00.241707+00
ba6b0b2e-7a5c-4bab-b783-6e7bf71eaf42,giay_phep|-|2026-07-15|30,giay_phep,,2026-07-15,30,3,2026-07-15 01:00:00.241707+00
207717c0-8575-4a0d-a9f0-815d35c64c21,giay_phep|-|2026-07-26|30,giay_phep,,2026-07-26,30,3,2026-07-15 01:00:00.241707+00
4f6f6d97-feac-457d-a2a2-2de197ad7d2b,giay_phep|-|2026-08-15|30,giay_phep,,2026-08-15,30,4,2026-07-16 01:00:00.269714+00
