id,kind,ma,don_vi_ma,ten,du_lieu,created_by,created_at,updated_at
e4898ea8-c97b-4101-a8a3-9aef90b6afc0,tb,TB_BDKT_KTKT_007,BDKT-KTKT,Cảm biến đo độ cao chân mây,"{""ghi_chu"": ""Ra soat 2026-07-11, file nguon: BDKT_OPTIMET""}",201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-13 06:41:50.396464+00,2026-07-13 06:41:50.396464+00
087ad76b-c7ba-4593-bc11-35f9a4bf53b8,pl,f024c88e-8702-49c8-a302-15b93f6acb3c,,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-13 09:18:09.113508+00,2026-07-13 09:18:27.843626+00
c943ba50-6868-411f-a340-f990345e6aee,nh,VCCS,,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-13 09:19:56.19481+00,2026-07-13 09:19:56.19481+00
e43237fd-017f-4425-a35e-f2a2656f9704,ht,AWOS::4fbd5536-e530-4f9b-97d3-d194186c33de,,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-11 13:54:56.744644+00,2026-07-13 09:22:34.012496+00
7b85b82f-f055-470e-a49b-0253121c5d85,nh,VHF,,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-13 09:16:15.800173+00,2026-07-13 09:21:40.764762+00
f207eb75-91cf-4dfe-9fe1-594d7834a1a4,ht,AWOS::2236fe1c-6896-4157-a310-ae0e094233f6,,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-11 13:51:48.573273+00,2026-07-13 09:22:10.650795+00
4ed635f6-9eaa-49bf-998e-2b4eb221c018,tb,TB_5TCXP7HD,PBA,,{},201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 06:58:28.067708+00,2026-07-15 06:58:28.067708+00
cb69b9d9-2e28-4305-a3b5-1f393d706d57,ht,AWOS::a0625061-0c6d-4e0b-b438-d696787ad746,,,"{""thu_tu"": 0}",201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-11 13:55:15.736215+00,2026-07-11 13:55:27.165498+00
df804731-1d13-469f-a4f8-8daed084d478,ht,AWOS::a13f3116-f74d-4435-b248-5b458d9fead4,,,"{""thu_tu"": 1}",201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-11 13:55:15.736215+00,2026-07-11 13:55:27.165498+00
a22a6414-82de-4387-91c7-97da7d2a4854,ht,AWOS::5ae20f2b-30dc-409c-95db-68b98b79c94e,,,"{""thu_tu"": 3}",201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-11 13:55:15.736215+00,2026-07-11 13:55:27.165498+00
