id,loai,he_thong_id,mo_ta,payload,snapshot_cu,trang_thai,da_ap_dung,da_hoan_tac,nguoi_tao,nguoi_duyet,duyet_luc,created_at,updated_at
b0a5af33-6600-41bb-8113-4cf69517f23f,move_systems,,"Di chuyển cụm ""Hệ thống chuyển điện văn tự động (AMSS)"" (1 hệ thống) sang Dừng khai thác","{""to_lv_id"": null, ""system_ids"": [""ab21d5ff-05ac-4012-af78-32a44101bd9e""], ""to_nhom_id"": ""4fb84994-6494-4f51-8f9c-44535ca33fd7""}","{""he_thong"": [{""id"": ""ab21d5ff-05ac-4012-af78-32a44101bd9e"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}], ""thiet_bi"": [{""id"": ""1a38b56e-80f3-446a-a67f-5fc2b7c609bb"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""6fee60ce-97d2-4ec1-876d-4dbf6b2fcc36"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""6616b9f7-333d-4667-9674-a90a75132c00"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""6320a531-9182-4f7f-a48a-b9046e5384d0"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""4bd99022-2c91-4ab9-879f-f23965c507d0"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""88955d6c-a01e-4bda-91db-619b9de3cec1"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""f700c51d-67e1-463d-ac24-12f118b49e35"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""d74c4ef9-babc-4bfa-888d-00e0f4f2d7fb"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""feb029e5-e79c-45bf-86a8-60cd7a8745a5"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""177d5b4b-b1f9-48e3-97f3-2f1e8709557a"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""f0e4545d-d51c-422d-8d2f-40803902f4d8"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""0529d12b-d6df-4cc1-8194-91811a398252"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""92202960-040e-44a5-ad2b-b9de88406398"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""e2d873e0-d181-4b1f-aae4-85a484be5f38"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}]}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 14:00:52.67752+00,2026-07-10 14:00:52.67752+00,2026-07-10 14:00:52.67752+00
1e912f96-3637-44ff-b2eb-1e9d1d3429df,custom_fields,VCCS::1e3bf6ff-5ad9-43f3-8d94-a07b98f54f9f,,"{""fields"": []}","{""he_thong_truong"": []}",da_hoan_tac,f,t,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-09 08:31:58.307751+00,2026-07-09 08:31:58.307751+00,2026-07-10 02:57:43.13821+00
c599b240-391e-4bec-8462-70deb9178f03,move_device,,"Gán thiết bị ""IC-A200 (VHF 118.8 MHz)"" vào hệ thống Hệ thống VHF 118.8 MHz PBA","{""to_ht_id"": ""42c99ea1-6512-4826-878d-beb1868c3108"", ""device_ma"": ""TB_MVVSK3VP""}","{""thiet_bi"": [{""id"": ""df8bf62b-70ba-467b-9018-6b9220ca3125"", ""he_thong_id"": null, ""linh_vuc_id"": null, ""phan_loai_id"": ""f024c88e-8702-49c8-a302-15b93f6acb3c"", ""nhom_he_thong_id"": null}]}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 04:12:55.862308+00,2026-07-15 04:12:55.862308+00,2026-07-15 04:12:55.862308+00
b60f6f36-bde4-47ee-a720-943ecf2ac8b8,custom_fields,VHF::64250299-3354-46d2-a7f6-011feec5e76f,,"{""fields"": [{""kieu"": ""text"", ""nhan"": ""Tần số hoạt động"", ""thu_tu"": 0, ""bat_buoc"": true, ""mac_dinh"": null, ""tuy_chon"": [], ""field_key"": ""tan_so_hoat_dong"", ""help_text"": null, ""rang_buoc"": {}, ""nhom_field"": null}]}","{""he_thong_truong"": []}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 07:55:56.726386+00,2026-07-10 07:55:56.726386+00,2026-07-10 07:55:56.726386+00
7a90c11a-6157-42ee-a88d-b09c72487e28,move_device,,"Gỡ thiết bị ""IC-A200 (VHF 118.8 MHz)"" khỏi hệ thống (thành độc lập)","{""detach"": true, ""device_ma"": ""TB_MVVSK3VP""}","{""thiet_bi"": [{""id"": ""df8bf62b-70ba-467b-9018-6b9220ca3125"", ""he_thong_id"": ""42c99ea1-6512-4826-878d-beb1868c3108"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""phan_loai_id"": ""f024c88e-8702-49c8-a302-15b93f6acb3c"", ""nhom_he_thong_id"": ""1ff8845b-1715-492a-8992-ae6b779f1022""}]}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 04:14:20.645443+00,2026-07-15 04:14:20.645443+00,2026-07-15 04:14:20.645443+00
817b5f9b-3fb0-44b0-9bc2-988c94b27a37,custom_fields,VHF::64250299-3354-46d2-a7f6-011feec5e76f,,"{""fields"": [{""kieu"": ""text"", ""nhan"": ""Tần số hoạt động"", ""thu_tu"": 0, ""bat_buoc"": true, ""mac_dinh"": null, ""tuy_chon"": [], ""field_key"": ""tan_so_hoat_dong"", ""help_text"": null, ""rang_buoc"": {}, ""nhom_field"": null}]}","{""he_thong_truong"": [{""id"": ""146edf59-216b-427b-b15a-e800fead5723"", ""kieu"": ""text"", ""nhan"": ""Tần số hoạt động"", ""mo_ta"": null, ""thu_tu"": 0, ""pham_vi"": ""he_thong"", ""bat_buoc"": true, ""mac_dinh"": null, ""tuy_chon"": [], ""field_key"": ""tan_so_hoat_dong"", ""help_text"": null, ""hoat_dong"": true, ""rang_buoc"": {}, ""ap_dung_id"": ""VHF::64250299-3354-46d2-a7f6-011feec5e76f"", ""created_at"": ""2026-07-10T07:55:56.726386+00:00"", ""created_by"": ""201c530d-d2f1-4683-a888-5e42b77a95c6"", ""nhom_field"": null, ""updated_at"": ""2026-07-10T07:55:56.726386+00:00"", ""ap_dung_lop"": ""thiet_bi"", ""he_thong_id"": ""VHF::64250299-3354-46d2-a7f6-011feec5e76f""}]}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 07:56:28.995457+00,2026-07-10 07:56:28.995457+00,2026-07-10 07:56:28.995457+00
2ff5a155-dbe7-4980-a7eb-cf5e66416e61,custom_fields,TB-BDKT-0025,test dev field,"{""scope"": ""thiet_bi"", ""fields"": [{""kieu"": ""text"", ""nhan"": ""Test dev"", ""thu_tu"": 0, ""bat_buoc"": false, ""mac_dinh"": null, ""tuy_chon"": [], ""field_key"": ""x_test_dev"", ""help_text"": null, ""rang_buoc"": {}, ""nhom_field"": null}]}","{""he_thong_truong"": []}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 08:05:07.554058+00,2026-07-10 08:05:07.554058+00,2026-07-10 08:05:07.554058+00
fb270e3c-e49f-48a9-9f9c-88d86a83f63c,move_system,f188dcb6-fbd8-47bf-8808-b2e555cf83b5,"Di chuyển ""HT VCCS - CRA"" sang Nhóm 1 / Thông tin / VCCS — Chuyển mạch thoại","{""to_lv_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""to_nh_key"": ""VCCS"", ""to_nh_ten"": ""VCCS — Chuyển mạch thoại"", ""to_nhom_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}","{""he_thong"": {""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, ""thiet_bi"": [{""id"": ""47a1542d-9a8c-40e9-989e-fcd55dd6f49b"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""868a7f3b-54ec-400a-bd8e-61c124cb4d8b"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""b6a275b0-da23-40c8-a968-7e2996696d6b"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""1b4439b2-1449-401e-bc0d-5b2c9877385f"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""0d88237a-1370-4bf1-8213-d98914d945f2"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""50c3df0c-6530-437c-b6e3-6afa7d7c5d65"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""4d3e74c0-3f09-467d-9821-e2eeea1383d1"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""3f0bb982-bb0a-4121-997f-a97493160d5b"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""2a8e3873-8ef8-42fe-8311-a19e9269304e"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""0421bb25-ccb2-4704-a17a-758aa7b06ce6"", ""linh_vuc_id"": ""d0679f71-9def-4f51-b583-f9b0a4bacf13"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ab9971f1-8a54-4137-9719-5c14d8cdb27e"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ad657f99-1944-446e-9d2d-d1f6dafa1a82"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""09a6b9d3-b8d2-46df-9ce4-64c8658d9743"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""89253405-1159-4b5e-a748-3841691bc4e6"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""f5620ac9-5645-49c5-b6e1-b0166a84819d"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""71c5649e-2f50-4042-89b2-0d28caf3a66f"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""fec10d6c-b10d-4944-bc26-6cd566768c05"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""2a767588-4fd5-4794-b891-bc56f61f5435"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""a00392e2-3f26-4b13-b2a5-6f225687c588"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""435f2982-b590-4229-8cc2-e614e718dc43"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""4ca14144-8240-4cf5-b2df-6af24f177b8e"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""50e3a797-9ca6-4cb8-ac03-81feef8c37ec"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""90cf4a36-a675-423b-8f3b-9775f31857ba"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""f37d9289-b589-4551-afb9-001fc0be78ac"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""a6048d2e-eaea-439b-9b44-63747b6f9f42"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""f284023f-f35a-4eb5-b0f1-dc6388e3e0cd"", ""linh_vuc_id"": ""d0679f71-9def-4f51-b583-f9b0a4bacf13"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""34eda571-5733-464d-9ed0-306eceb7375f"", ""linh_vuc_id"": ""d0679f71-9def-4f51-b583-f9b0a4bacf13"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""9591a74c-af85-49d6-b09a-282dfd443168"", ""linh_vuc_id"": ""d0679f71-9def-4f51-b583-f9b0a4bacf13"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""de833acc-1a53-4546-8aba-be3d6c0d4c3f"", ""linh_vuc_id"": ""d0679f71-9def-4f51-b583-f9b0a4bacf13"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""8ca0a19c-eb90-4637-b09b-743234828f93"", ""linh_vuc_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}], ""node_edit"": null}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 08:50:38.021244+00,2026-07-10 08:50:38.021244+00,2026-07-10 08:50:38.021244+00
40577bd5-5cb4-444a-9206-b9a80d284281,move_system,6f770fab-7949-4ee5-9743-3510ae76b61b,"Di chuyển ""Hệ thống AIS"" sang Nhóm 1 / Giám sát / VCCS — Chuyển mạch thoại","{""to_lv_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""to_nh_key"": ""VCCS"", ""to_nh_ten"": ""VCCS — Chuyển mạch thoại"", ""to_nhom_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}","{""he_thong"": {""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, ""thiet_bi"": [{""id"": ""0fa296f0-3d60-4dfd-838d-1078c57d29df"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""b4271b43-f66a-4f8d-98da-081078a3f55e"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""1e914370-9a09-4c36-ac9c-e558618beda8"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""950d2706-1c47-4a68-859a-466da3f029cd"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""014d2961-7945-4f46-a09e-1f6405bc64d3"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""5b85d2f7-2813-41ef-98da-9e775327254c"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""a5fd0c96-196c-4898-bfd4-9be4d0e330a8"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""7bd2db39-eb92-4b32-aef0-1a5e18ef8d98"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ac41c78a-bc73-4667-9ec0-9c109d3e8134"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""acaf0e24-eff5-4301-a68c-4adfe4e6de03"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""cef0f0e5-eb9b-42a5-ab87-7dd9eacef149"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""c2f579c0-071e-4b23-8fd3-a5eadae747e5"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ab291557-b8e0-4eec-aeeb-82128d406c65"", ""linh_vuc_id"": ""d5d9a038-1bf8-4ff0-be9f-bd4ea4df85e1"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}], ""node_edit"": null}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 08:52:06.9775+00,2026-07-10 08:52:06.9775+00,2026-07-10 08:52:06.9775+00
c6ffb53c-f666-4c4e-aa00-2ca87c548477,move_system,6f770fab-7949-4ee5-9743-3510ae76b61b,"Di chuyển ""Hệ thống AIS"" sang Nhóm 1 / Thông tin / VCCS — Chuyển mạch thoại","{""to_lv_id"": ""5f2139b2-8c48-425a-9aeb-a5d106f838f3"", ""to_nh_key"": ""VCCS"", ""to_nh_ten"": ""VCCS — Chuyển mạch thoại"", ""to_nhom_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}","{""he_thong"": {""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, ""thiet_bi"": [{""id"": ""0fa296f0-3d60-4dfd-838d-1078c57d29df"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""b4271b43-f66a-4f8d-98da-081078a3f55e"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""1e914370-9a09-4c36-ac9c-e558618beda8"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""950d2706-1c47-4a68-859a-466da3f029cd"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""014d2961-7945-4f46-a09e-1f6405bc64d3"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""5b85d2f7-2813-41ef-98da-9e775327254c"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""a5fd0c96-196c-4898-bfd4-9be4d0e330a8"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""7bd2db39-eb92-4b32-aef0-1a5e18ef8d98"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ac41c78a-bc73-4667-9ec0-9c109d3e8134"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""acaf0e24-eff5-4301-a68c-4adfe4e6de03"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""cef0f0e5-eb9b-42a5-ab87-7dd9eacef149"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""c2f579c0-071e-4b23-8fd3-a5eadae747e5"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}, {""id"": ""ab291557-b8e0-4eec-aeeb-82128d406c65"", ""linh_vuc_id"": ""2b28dd7f-4024-46b4-81b3-9a87d0094f21"", ""nhom_he_thong_id"": ""786bc25b-784e-4531-8975-33132d3365dd""}], ""node_edit"": {""id"": ""e9461581-a3f3-4e2c-a7e8-389a1532bfac"", ""ma"": ""6f770fab-7949-4ee5-9743-3510ae76b61b"", ""ten"": null, ""kind"": ""ht"", ""du_lieu"": {""manual_nh_key"": ""VCCS"", ""manual_nh_ten"": ""VCCS — Chuyển mạch thoại""}, ""don_vi_ma"": null, ""created_at"": ""2026-07-10T08:52:06.9775+00:00"", ""created_by"": ""201c530d-d2f1-4683-a888-5e42b77a95c6"", ""updated_at"": ""2026-07-10T08:52:06.9775+00:00""}}",da_duyet,t,f,201c530d-d2f1-4683-a888-5e42b77a95c6,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-10 08:52:45.636255+00,2026-07-10 08:52:45.636255+00,2026-07-10 08:52:45.636255+00
