id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,parent_id,merged_into,deactivated_at
d8d935d5-1545-4139-836d-8dc8a7cc54e0,BDKT-TT,Đội Thông tin,,16,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:48:59.214375+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
141337b4-f2fa-4438-808f-0d10cfeedb85,CLA,Đài KSKL Chu Lai,,20,t,2026-07-08 16:41:48.502751+00,2026-07-13 03:48:59.323125+00,,,
f59bf0bd-520b-4245-80db-dc71b7187bf1,CRA,TT KSTC TS Cam Ranh,,21,t,2026-07-08 16:34:09.167035+00,2026-07-13 03:48:59.429022+00,,,
581d9350-905f-46da-b45e-c2d8aba4d868,PBA,Đài KSKL Phú Bài,,22,t,2026-07-08 16:41:48.808267+00,2026-07-13 03:48:59.532614+00,,,
46e84da7-5a8b-4a79-aa46-2fb4bae1ff26,PCA,Đài KSKL Phù Cát,,23,t,2026-07-08 16:41:48.66266+00,2026-07-13 03:48:59.638656+00,,,
8b408897-b25d-4ece-91ba-d97dfacec283,PLK,Đài KSKL Pleiku,,24,t,2026-07-08 16:41:48.95347+00,2026-07-13 03:48:59.747466+00,,,
e43c5d4b-3c3c-4486-89da-73e9ac747ab4,THO,Đài KSKL Tuy Hòa,,25,t,2026-07-11 07:08:59.131364+00,2026-07-13 03:48:59.85359+00,,,
c3231147-e403-4afa-838f-04026ffa8f7d,BDKT,Trung tâm Bảo đảm Kỹ thuật,,10,t,2026-07-11 07:08:59.435294+00,2026-07-13 03:48:59.970609+00,,,
a61c4cd7-c3c8-4993-a233-d1dfad9e8f50,BDKT-CNTT,Đội Công nghệ thông tin,,11,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:49:00.078003+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
65ac5e26-b0a7-487e-a72d-3f0dfc3facc2,BDKT-KTKT,Đội Kỹ thuật khí tượng,,12,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:49:00.190675+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
dbb1f458-1d56-4abd-91b6-cc3936a0519a,BDKT-ME,Đội Cơ điện,,13,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:49:00.300051+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
38692b13-0732-44b4-86e7-c9b91bb0077c,BDKT-QNH,Đội Radar Quy Nhơn,,14,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:49:00.408588+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
b91944b0-f556-47dd-ae34-c9c8368a18fc,BDKT-STR,Đội Radar Sơn Trà,,15,t,2026-07-11 07:27:15.171158+00,2026-07-13 03:49:00.513376+00,c3231147-e403-4afa-838f-04026ffa8f7d,,
