id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,nhom_he_thong_id,don_vi_id,ten_he_thong_theo_gp,nam_sx_theo_gp,gp_so,gp_ngay_cap,gp_han,kieu_thiet_bi_gp,so_san_xuat_gp,noi_san_xuat_gp,muc_dich_gp,pham_vi_hoat_dong_gp,ma_dia_chi_kt_gp,dia_diem_dat_gp,thoi_gian_hoat_dong_gp,gp_cu_bai_bo,thanh_phan_theo_gp,ma_tai_san_bravo,phan_loai_id,tinh_nang_ky_thuat,giay_phep_khai_thac,pham_vi_quan_ly,to_chuc_so_huu,to_chuc_id,attrs,merged_into,deactivated_at
0b7e4c54-e070-4966-a436-6ec34964c371,HE_THONG_MSSR_SON_TRA_2,Hệ thống MSSR Sơn Trà 2,,0,t,2026-07-14 14:07:04.094199+00,2026-07-14 14:14:25.984547+00,eebf2c65-5e6c-4357-9c64-0ff31b4bfb74,b91944b0-f556-47dd-ae34-c9c8368a18fc,Hệ thống ra đa giám sát thứ cấp (MSSR),2015,5089/GP-CHK,2025-10-24,2027-11-30,Indra MSSR IRS-20MP/S 2NA,1440-0020,"Hãng Indra, Tây Ban Nha",Phục vụ điều hành bay FIR HCM/HAN và APP Đà Nẵng,Tầm phủ: 463 km,0000 0110 (SIC),Trạm Ra đa Thông Sơn Trà 2,24/24h,,MSSR Indra IRS-20MP/S 2NA,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
80c99472-da15-4433-934b-20349ce0e252,HE_THONG_PSR_SON_TRA_1,Hệ thống PSR Sơn Trà 1,,0,t,2026-07-14 14:07:04.942479+00,2026-07-14 14:14:25.984547+00,eebf2c65-5e6c-4357-9c64-0ff31b4bfb74,b91944b0-f556-47dd-ae34-c9c8368a18fc,Hệ thống ra đa giám sát sơ cấp (PSR),1994,604/GP-CHK,2025-02-07,2027-03-30,TRAC2000,45050166,Pháp,Phục vụ điều hành bay FIR HCM/HAN và APP Đà Nẵng,Bán kính R = 150 km,0000 0010 (SIC),Trạm ra đa Thông Sơn Trà 1,24/24h,,PSR TRAC2000,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
fc3e7503-3a66-4f08-8fec-157327b85499,HE_THONG_SSR_SON_TRA_1,Hệ thống SSR Sơn Trà 1,,0,t,2026-07-14 14:07:05.082646+00,2026-07-14 14:14:25.984547+00,eebf2c65-5e6c-4357-9c64-0ff31b4bfb74,b91944b0-f556-47dd-ae34-c9c8368a18fc,Hệ thống ra đa giám sát thứ cấp (SSR),1994,605/GP-CHK,2025-02-07,2027-03-30,RSM 970,Máy chính: 021/32; Máy dự phòng: 019/32,Pháp,Phục vụ điều hành bay FIR HCM/HAN và APP Đà Nẵng,Bán kính R = 460 km,0000 0010 (SIC),Trạm ra đa Thông Sơn Trà 1,24/24h,,SSR RSM 970,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
4fbd5536-e530-4f9b-97d3-d194186c33de,HT_CLA_AWOS,HỆ THỐNG AWOS IMS Chu Lai,,45,t,2026-07-11 07:10:03.249436+00,2026-07-14 14:10:14.445872+00,d7faf284-1a3a-4e53-9433-8476900a66e7,141337b4-f2fa-4438-808f-0d10cfeedb85,Hệ thống quan trắc thời tiết tự động IMS,2015,608/GP-CHK,2026-01-30,2028-02-01,IMS,TX000843; 1M31X63,Slovakia,Quan trắc và báo cáo thời tiết sân bay phục vụ hoạt động bay,Khu vực Cảng hàng không Chu Lai,Không áp dụng,"Cảng hàng không Chu Lai, TP. Đà Nẵng",24/24h,2144,Các thành phần và tính năng kỹ thuật theo phụ lục kèm giấy phép.,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,22e9f4a5-2377-499b-a10d-9cc036258ad8,{},,
e2f73bec-33d4-43be-b628-2a40bdf01221,HE_THONG_VHF_118_2_MHZ_CRA,Hệ thống VHF 118.2 MHz CRA,,0,t,2026-07-14 14:06:57.132799+00,2026-07-14 14:10:14.445872+00,1ff8845b-1715-492a-8992-ae6b779f1022,f59bf0bd-520b-4245-80db-dc71b7187bf1,Máy thu phát VHF thoại không - địa,"2010, 2024",619/GP-CHK,2025-02-07,2027-02-12,Máy thu phát: XU4200; máy phát: TA-7650; máy thu: RA-7203,"Máy chính: 100107 (XU4200); máy dự phòng: 100231, 104268, 104270 (XU4200); 20939 (TA-7650), 21051 (RA-7203)","Đức, Na Uy",Điều hành bay (TWR Cam Ranh),Bán kính R = 15 km,Không,"APP/TWR Cam Ranh, Cảng HKQT Cam Ranh; tọa độ WGS-84: 12°00′13,98″B - 109°12′52,80″Đ",24/24h,2204/GP-CHK,"Liên lạc thoại không - địa; cấu hình chính - dự phòng; AM 118,2 MHz; công suất 50W; phân cực đứng; ăng ten cao 10 m.",,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
6cba7a87-8f90-4d07-8bea-2f196ccfa6b6,HE_THONG_VHF_127_9_MHZ_CRA,Hệ thống VHF 127.9 MHz CRA,,0,t,2026-07-14 14:06:57.276752+00,2026-07-14 14:10:14.445872+00,1ff8845b-1715-492a-8992-ae6b779f1022,f59bf0bd-520b-4245-80db-dc71b7187bf1,Máy thu phát VHF thoại không - địa,"2019, 2010",5415/GP-CHK,2025-11-07,2027-11-15,"Máy phát: Park Air T6T; máy thu: Park Air T6R; máy thu phát: Park Air T6TR, XU-4200",Máy chính: 274264 (T6T); 274157 (T6R); Máy dự phòng: 274265 (T6T); 173704 (T6R); 274268 (T6TR); 104268 (XU4200),"Anh, Đức",Điều hành bay (APP Cam Ranh),Tầm phủ 74 km,Không,"APP/TWR Cam Ranh, Cảng HKQT Cam Ranh; tọa độ WGS-84: 12°00′13,98″B - 109°12′52,80″Đ",24/24h,4547/GP-CHK,"Liên lạc thoại không - địa; cấu hình chính - dự phòng; AM 127,9 MHz; công suất tối đa 50W; phân cực đứng; ăng ten cao 8 m.",,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
38cbcd04-2410-4ada-93ab-35156e468f9e,HE_THONG_VHF_121_5_MHZ_THA,Hệ thống VHF 121.5 MHz THA,,0,t,2026-07-14 14:07:05.507222+00,2026-07-14 14:10:14.445872+00,1ff8845b-1715-492a-8992-ae6b779f1022,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,Máy thu phát VHF thoại không - địa,"2015, 1997, 2023",3618/GP-CHK,2024-07-19,2026-07-25,"Máy thu/phát: T6T/T6R, TA-7650/RA-7203; máy thu phát ICOM IC-A200","Máy chính: 166197 (T6T), 166180 (T6R); máy dự phòng: 166194 (T6T), 166182 (T6R); 19715 (TA-7650), 19742 (RA-7203); 12786, 12335 (IC-A200)","Anh, Nhật Bản, Na Uy","Liên lạc trên tần số khẩn nguy 121,5 MHz (TWR Tuy Hòa)",Bán kính R = 60 km,Không,Đài KSKL Tuy Hòa - Cảng HK Tuy Hòa,24/24h,4260/GP-CHK,"AM 121,5 MHz",,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
0ce7ee20-8254-4462-a388-b0a989109c17,HE_THONG_VHF_124_35_MHZ_CRA,Hệ thống VHF 124.35 MHz CRA,,0,t,2026-07-14 14:06:57.418416+00,2026-07-14 14:10:14.445872+00,1ff8845b-1715-492a-8992-ae6b779f1022,f59bf0bd-520b-4245-80db-dc71b7187bf1,Máy thu phát VHF thoại không - địa,"2019, 2010, 2024",625/GP-CHK,2025-02-07,2027-02-12,"Máy phát: Park Air T6T, Jotron TA-7650; máy thu: Park Air T6R, Jotron RA-7203; máy thu phát: Park Air T6TR; R&S XU4200","Máy chính: 274266 (T6T); 274159 (T6R). Máy dự phòng: 274267 (T6T), 274156 (T6R), 20939 (TA-7650), 21051 (RA-7203), 274268 (T6TR); 104270, 104268 (XU4200)","Anh, Đức, Na Uy",Điều hành bay (APP/TWR Cam Ranh - Dự phòng),Bán kính R = 74 km,Không,"APP/TWR Cam Ranh, Cảng HKQT Cam Ranh; tọa độ WGS-84: 12°00′13,98″B - 109°12′52,80″Đ",24/24h,2205/GP-CHK,"Liên lạc thoại không - địa; cấu hình chính - dự phòng; AM 124,35 MHz; công suất 50W; phân cực đứng; ăng ten cao 15 m.",,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,,{},,
1b3bf7aa-db38-4e39-8990-37542b798b5f,HE_THONG_VCCS_4G_CLA,Hệ thống VCCS 4G CLA,,0,t,2026-07-13 09:18:59.97605+00,2026-07-17 07:05:58.26393+00,12b54ce6-495f-45af-9441-91e71bc26e21,141337b4-f2fa-4438-808f-0d10cfeedb85,Hệ thống chuyển mạch thoại (VCCS),2016,5852/GP-CHK,2025-11-27,2027-12-20,R&S VCS-4G,6424049796870,Rumania,Phục vụ điều hành bay,Tại Đài KSKL Chu Lai - Cảng hàng không Chu Lai,Không áp dụng,Đài KSKL Chu Lai - Cảng hàng không Chu Lai,24/24h,,01 server cấu hình/giám sát; 04 bảng điều khiển; 01 workstation; 02 khối giao tiếp radio 4 dây E&M; 01 khối giao tiếp telephone; 02 switch chính/dự phòng.,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,22e9f4a5-2377-499b-a10d-9cc036258ad8,{},,
aaed0d44-f2d3-4e13-bc69-9198c8527c70,MAY_VHF_UPKL,Máy VHF UPKL PBA,,0,t,2026-07-13 09:21:38.215064+00,2026-07-17 07:05:58.26393+00,1ff8845b-1715-492a-8992-ae6b779f1022,581d9350-905f-46da-b45e-c2d8aba4d868,,,,,,,,,,,,,,,,,f024c88e-8702-49c8-a302-15b93f6acb3c,,,noi_bo,,22e9f4a5-2377-499b-a10d-9cc036258ad8,{},,
