id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,mau,merged_into,deactivated_at,la_may_tinh
ae03f513-6763-46f8-913d-91a103966947,TRUYEN_DAN,Truyền dẫn và thiết bị trung gian,,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:57.621825+00,,,,f
accf1740-4c18-4b9a-895f-59d85ba593b5,CAP_NGUON,Cấp nguồn,,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:57.733652+00,,,,f
660f73b4-1975-4bde-8c87-810a23ef6e2c,CHONG_SET,Chống sét,,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:57.841446+00,,,,f
1ef69ec2-6298-4c48-b931-aea3fa48c0fc,PHU_KIEN,Phụ kiện,,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:57.945031+00,,,,f
83e7d93e-2f76-4d4f-a6bc-08926383aba1,MAY_CHU_DAU_CUOI,Máy chủ và đầu cuối,,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:58.057266+00,,,,f
cf5f1968-954f-4a81-9c99-bc93cade8350,PHAN_MEM,Phần mềm,,0,t,2026-07-11 14:31:22.391387+00,2026-07-13 03:48:58.164815+00,,,,f
032cd7d8-5028-42f1-86b5-cf3122e3a430,MAY_THU_VHF,Máy thu VHF,Thiết bị thu sóng VHF.,0,t,2026-07-13 03:48:58.274024+00,2026-07-13 07:28:26.187547+00,,,,f
954b8685-0b5a-45b3-9172-43b93da5faef,MAY_PHAT_VHF,Máy phát VHF,Thiết bị phát sóng VHF.,0,t,2026-07-13 07:28:20.545362+00,2026-07-13 07:28:33.956864+00,,,,f
9c934580-6f7d-466b-a585-7ebba4ba4b31,MAY_THU_PHAT_VHF,Máy thu phát VHF,Thiết bị thu phát sóng VHF.,0,t,2026-07-13 07:28:56.086055+00,2026-07-13 07:28:56.086055+00,,,,f
98c88d39-bf0f-43c7-83a2-ca5d266ba54f,CAM_BIEN_KHI_TUONG,Cảm biến khí tượng,,0,t,2026-07-11 09:50:09.894644+00,2026-07-25 08:41:46.641792+00,luc,,,f
884539d8-80f3-4116-a6e5-bd5b9216341c,NAN,Không xác định (NaN),"Chủng loại tạm khi chưa xác định. Dùng để đánh dấu dữ liệu thiếu, phục vụ lọc nhanh và tách riêng trong báo cáo.",9999,t,2026-07-25 08:45:52.689699+00,2026-07-25 08:45:52.689699+00,#94a3b8,,,f
c8f32161-e29e-4c99-bc78-b67707a97b98,CWP,CWP,,0,t,2026-07-28 02:32:34.993379+00,2026-07-28 02:32:34.993379+00,,,,f
563ce846-dd5d-4eee-b62d-b99f441852c9,TOUCH_SCREEN,Touch screen,,0,t,2026-07-28 02:41:53.309594+00,2026-07-28 02:41:53.309594+00,,,,f
486f85a5-f8cf-4859-ace9-855d6ad237e7,AUDIO_BOX,Audio Box,,0,t,2026-07-28 02:47:08.737784+00,2026-07-28 02:47:08.737784+00,,,,f
dcbef411-748f-4cbf-97de-e63e92ce9ec7,LOUDSPEAKER,Loudspeaker,,0,t,2026-07-28 02:49:13.013011+00,2026-07-28 02:49:13.013011+00,,,,f
7de474c5-2bef-4af9-9167-d23e15110df6,HANDSET_HEADSET_HANDHELD,Handset/Headset/Handheld,,0,t,2026-07-28 02:55:14.848836+00,2026-07-28 02:55:14.848836+00,,,,f
