id,ma,ten,so_model,nha_san_xuat_id,loai_thiet_bi_id,field_set_id,hinh_anh,mo_ta,thu_tu,active,created_at,updated_at,p_n,merged_into,deactivated_at
ede7eea3-dec3-4214-8864-fbedec402115,M_AWOS__MAYTINHAUCUOI_5CB640,Máy tính đầu cuối,,,,,,Chuan hoa tu ra soat 2026-07-11; dung tai: PBA,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.071636+00,,,
1ffe564b-1bb2-4490-8dab-d9d2a24a048e,M_AWOS__TIEPIA24GIENGSAU35MCHONTIEPIAO_9361D4,"Tiếp địa: 24 giếng sâu 35m chôn tiếp địa, đóng cọc đồng d16 l=2,4m, cáp đồng trần M70. Lắp hố đan kiểm tra - thanh đồng 30x3, thanh nối đơn. Đo điện trở bộ phận nội đất - bản mã đồng 50x200x5. 2 Cột 3m lắp kim thu sét",,,,,,Chuan hoa tu ra soat 2026-07-11; dung tai: THA,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.177495+00,,,
d36f678e-1637-41db-a115-1ada1ba5d935,M_CHUYEN_DOI_SERIAL_ETHERNET,Chuyển đổi Serial/Ethernet,,a5454b1e-b677-4fd8-8494-b4c080de867d,ae03f513-6763-46f8-913d-91a103966947,,,,213,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:06.417735+00,,,
e0626990-e733-412a-a20e-645165af3b5a,M_AWOS__TUTRAMTANGAPPTS95_A7A8DC,Tủ trạm tăng áp PTS95,,494923ea-f1cf-410b-9804-3d21208ced5e,accf1740-4c18-4b9a-895f-59d85ba593b5,,,Tăng áp trong nhà của D-AW21,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:06.527704+00,PTS95,,
22f1e711-c373-4ab4-8998-b3f5d91d9d2f,M_AWOS_RCD_ANTEN_UHF_88E4B2,Anten UHF định hướng BD 460A,,e9850c64-0332-4a34-9cfc-676e9b576924,ae03f513-6763-46f8-913d-91a103966947,,,UHF khí tượng Cam Ranh,233,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:06.637154+00,BD 460A,,
f16ea0e5-dbec-4f42-8557-52ed20564f47,M_AWOS_PLANET_BO_CHIA_KVM_5FC274,Bộ chia KVM,,a7ff6351-6b6d-4db4-aafa-1477b832427d,1ef69ec2-6298-4c48-b931-aea3fa48c0fc,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,226,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:06.757885+00,,,
308a6802-a507-4955-85c9-39e6d67a9242,DELL_OPTIPLEX_3020,Dell OptiPlex 3020,,f9bb034d-e32b-4595-b6a6-e5136105dc19,83e7d93e-2f76-4d4f-a6bc-08926383aba1,,,"Máy tính để bàn Dell OptiPlex 3020. Cấu hình hồ sơ: Intel Core i3-4130 3,40 GHz, RAM 4 GB, HDD 1 TB, Windows 7 Pro 64-bit. Tài liệu Dell xác nhận dòng 3020 dùng chipset Intel H81, hỗ trợ Core i3/i5 và RAM DDR3; cấu hình thực tế theo hồ sơ thiết bị.",1,t,2026-07-12 07:05:42.049497+00,2026-07-13 03:49:06.86123+00,,,
316a53b6-d060-4156-9824-9a33a338570c,M_AWOS_ALLWEATHER_DELLR360_FCB7C1,Server,,8c53503a-8e6c-4698-bb44-06b929060b8a,83e7d93e-2f76-4d4f-a6bc-08926383aba1,,,Chuan hoa tu ra soat 2026-07-11; dung tai: PBA,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:06.965173+00,DELL R360,,
8c8c55f3-880b-4f1a-a70d-ef42afec00e2,M_AWOS__TUTRAMHAAP_0C0632,Tủ trạm hạ áp,,,,,,Chuan hoa tu ra soat 2026-07-11; dung tai: THA,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.278268+00,,,
e975a37f-3060-4028-9e50-8d8e34f48418,M_AWOS__WINDOWBANQUYENCHUOTBANPHIM_8BA981,"Window bản quyền, chuột, bàn phím",,,,,,Chuan hoa tu ra soat 2026-07-11; dung tai: THA,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.384102+00,,,
b6f2490d-e847-4dbe-8884-3b2dcc37f7dc,M_DATA_LOGGER,Data logger,,54e09535-2d7f-4319-812f-aee0a4916ed6,ae03f513-6763-46f8-913d-91a103966947,,,,206,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.485089+00,,,
33f26772-b734-4dd0-a743-72205cc0502f,M_AWOS_RACOM_HUB_MODEM_MAIN_ABBD54,HUB modem Main,,ca029628-203c-4008-b4bc-89b0746a39c6,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,229,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.590121+00,,,
771a5112-b4d2-4154-8857-9c0a9bca7ebc,M_AWOS_RACOM_HUB_MODEM_STB_36A101,HUB modem STB,,ca029628-203c-4008-b4bc-89b0746a39c6,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,230,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.697788+00,,,
3b804178-9382-48c0-935d-47039f5d0248,M_AWOS_RACOM_RF_MODEM_CLIENT_1275AD,RF Modem Client,,ca029628-203c-4008-b4bc-89b0746a39c6,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,231,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.809418+00,,,
d7ac1243-874d-424b-882c-9e0bcdf5827e,M_AWOS_RCD_ANTEN_326443,Anten,,e9850c64-0332-4a34-9cfc-676e9b576924,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,232,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:07.915808+00,,,
36b293db-9497-423a-ba56-9858b9f9f581,M_AWOS_RCD_ANTEN_VO_HUONG_9BEC42,Anten vô hướng,,e9850c64-0332-4a34-9cfc-676e9b576924,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,234,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:08.016495+00,,,
81356bb6-6046-4ec2-91a7-5df7db1b0177,M_AWOS_RITRON_ANTEN_1892A9,Anten,,ceeef1ba-894d-4e04-9fb3-6efefba20836,ae03f513-6763-46f8-913d-91a103966947,,,Chuẩn hóa từ danh mục PL1 gốc; cần đối chiếu tem máy nếu P/N trống.,244,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:08.120444+00,,,
994d8abb-349e-40b9-afaa-ac856739632a,M_MODEM_VO_TUYEN_MODEM_VO_TUYEN,Modem vô tuyến (Modem vô tuyến,,e13e7070-f3dc-4dcf-8f98-e96c37e2be06,ae03f513-6763-46f8-913d-91a103966947,,,,246,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:49:08.226529+00,,,
3ae87654-00b3-4638-bae1-d8fa683ac444,CISCO_2900_SERIES_ISR,Cisco 2900 Series ISR,,ce41dcc3-9d54-4a7b-99fd-5a4a97a95447,ae03f513-6763-46f8-913d-91a103966947,,,"Router tích hợp dịch vụ Cisco 2900 Series ISR. Hồ sơ thiết bị ghi 01 SFP, 01 GE và 02 cổng Serial. Cisco mô tả dòng 2900 hỗ trợ tích hợp dịch vụ dữ liệu, thoại, video và bảo mật; chưa đủ model con để xác nhận toàn bộ cổng.",2,t,2026-07-12 07:05:42.193612+00,2026-07-13 03:49:08.334216+00,,,
