id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,trang_web,ghi_chu,xuat_xu,logo,merged_into,deactivated_at
2f529936-107e-451b-bd0f-f3197db1943f,ATTECH,ATTECH,"Công ty TNHH Kỹ thuật Quản lý bay (Air Traffic Technical Company Limited), cung cấp và sản xuất sản phẩm/dịch vụ kỹ thuật hàng không, CNS/ATM; có sản phẩm ghi âm số AR-16-A.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:49.573846+00,https://attech.com.vn/,Đã hiệu chỉnh theo đúng ATTECH Việt Nam; nguồn thiết bị ghi ATTECH Recorder AR-16-A-Standard.,Việt Nam,,,
494923ea-f1cf-410b-9804-3d21208ced5e,AUGIER,AUGIER,"Nhà sản xuất hệ thống nguồn điện, điều khiển và giám sát cho chiếu sáng sân bay và hạ tầng kỹ thuật.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:49.689028+00,https://www.augier.com/,Đã bổ sung theo thông tin công khai của hãng.,Pháp,,,
85b16a8e-84ee-4408-ac50-81b3e2aa7ca6,APC,APC by Schneider Electric,"Thương hiệu UPS, PDU, chống sét và hạ tầng nguồn/trung tâm dữ liệu thuộc Schneider Electric.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:49.796+00,https://www.apc.com/,APC hiện là thương hiệu của Schneider Electric.,Hoa Kỳ,,,
9d09c5d7-4aa9-40a6-b47b-4e1899c9956f,AT3W,AT3W,Thương hiệu hệ thống chống sét trực tiếp và kim thu sét phát tia tiên đạo của Aplicaciones Tecnológicas.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:49.905837+00,https://at3w.com/,"AT3W là thương hiệu/sản phẩm của Aplicaciones Tecnológicas, S.A.",Tây Ban Nha,,,
2bbe29db-836a-4243-a414-68aff351c131,BELFORT,Belfort Instrument,"Nhà sản xuất thiết bị khí tượng, tiêu biểu là máy đo gió, mưa, khí áp và thiết bị ghi dữ liệu thời tiết.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.018047+00,https://www.belfortinstrument.com/,Đã bổ sung theo thông tin công khai của hãng.,Hoa Kỳ,,,
b7f4a9b7-d8ca-434b-b11c-5e4a13a35ad1,BIRAL,Biral,"Nhà sản xuất cảm biến tầm nhìn, thời tiết hiện tại và phát hiện giông sét cho hàng không và môi trường.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.128883+00,https://www.biral.com/,"Đã gộp các bản ghi trùng/biến thể: BIRAL, BRIAL.",Vương quốc Anh,,,
ce41dcc3-9d54-4a7b-99fd-5a4a97a95447,CISCO,Cisco,"Nhà cung cấp thiết bị và giải pháp mạng, an ninh mạng, truyền thông hợp nhất và trung tâm dữ liệu.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.237635+00,https://www.cisco.com/,"Đã gộp các bản ghi trùng/biến thể: CISCO, CISCO_2.",Hoa Kỳ,,,
80666d25-731c-4de5-8d64-08488037258a,CITEL,CITEL,"Nhà sản xuất thiết bị chống sét lan truyền cho nguồn điện, viễn thông, dữ liệu và hệ thống RF.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.353178+00,https://citel.fr/,Đã bổ sung theo thông tin công khai của hãng.,Pháp,,,
6842b45f-5020-4a54-9962-14b7ba723363,COMERGON,ComErgon,"Nhà phát triển và sản xuất bộ chuyển đổi, lặp tín hiệu và linh kiện giao tiếp dữ liệu nối tiếp RS-232/RS-422/RS-485.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.46316+00,https://www.comergon.sk/,Tên thương hiệu chuẩn hóa là ComErgon.,Slovakia,,,
9e1e0f0c-c9e2-449b-bacb-19bd361646f2,COMPLETECH,CompleTech,Nhà sản xuất ăng-ten và linh kiện RF/viễn thông cho mạng vô tuyến chuyên dụng.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.575639+00,https://www.completech.fi/,"Đã gộp các bản ghi trùng/biến thể: COMPLETECH, COMPLETECH_2.",Phần Lan,,,
764fa0d4-4f4a-4b3c-91be-bd426249a9f3,D_LINK,D-Link,"Nhà sản xuất thiết bị mạng: switch, router, Wi-Fi, camera IP và giải pháp kết nối.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.687847+00,https://www.dlink.com/,"Đã gộp các bản ghi trùng/biến thể: D_LINK, DLINK.",Đài Loan,,,
84ad453e-5411-4ab4-9b44-48427cac81a0,DATATAKER,dataTaker,"Thương hiệu bộ ghi dữ liệu và hệ thống thu thập dữ liệu dùng trong công nghiệp, môi trường và nghiên cứu.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.797758+00,https://www.datataker.com/,"Đã gộp các bản ghi trùng/biến thể: DATATAKER, DATATAKER_PTY_LTD.",Úc,,,
f9bb034d-e32b-4595-b6a6-e5136105dc19,DELL,Dell Technologies,"Nhà sản xuất máy tính, máy chủ, lưu trữ, thiết bị mạng và giải pháp hạ tầng CNTT.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:50.91389+00,https://www.dell.com/,"Đã gộp các bản ghi trùng/biến thể: DELL, DELL_2.",Hoa Kỳ,,,
27172590-3f49-492f-b2ca-334a840f1f9e,DICOM_HME,DICOM Corporation,"Nhà sản xuất và tích hợp hệ thống thông tin liên lạc trọng yếu và khí tượng hàng không cho ATM, sân bay và quốc phòng.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.028642+00,https://dicomcorp.com/,Tên thương hiệu chuẩn hóa là DICOM Corporation; “HME” có thể là ký hiệu model/hệ thống.,Việt Nam,,,
be290cbb-49ab-4e46-b2af-b7eda2b245f6,DRACO_VARIO,IHSE,"Dòng thiết bị mở rộng/chuyển mạch KVM Draco vario của IHSE, dùng truyền tín hiệu máy tính qua cáp đồng hoặc quang.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.134152+00,https://www.ihse.com/,Draco vario là dòng sản phẩm KVM của thương hiệu IHSE.,Đức,,,
5a262fb2-f214-417f-9168-6849e1e6d0de,EIZO,EIZO,"Nhà sản xuất màn hình chuyên dụng cho kiểm soát không lưu, y tế, đồ họa và công nghiệp.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.24705+00,https://www.eizoglobal.com/,Đã bổ sung theo thông tin công khai của hãng.,Nhật Bản,,,
719caddc-3d8b-41e3-9748-23158aa46077,ELIASSON,Eliasson,Thương hiệu thiết bị đo độ cao trần mây (ceilometer) và quan trắc khí tượng; hiện thuộc Mesotech International.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.354853+00,https://eliasson.com/,Tên đúng là Eliasson; hiện là một công ty thuộc Mesotech International.,Thụy Điển,,,
2e05f201-8ee7-4f2d-afe5-963dc6d94500,ERICO,nVent ERICO,"Thương hiệu giải pháp nối đất, liên kết đẳng thế, chống sét và bảo vệ điện thuộc nVent.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.479534+00,https://www.nvent.com/en-us/erico,"Đã gộp các bản ghi trùng/biến thể: ERICO, ERICO_2.",Hoa Kỳ,,,
d587f701-fb92-4a71-934e-aa75a3f071f3,ETHEWAN,EtherWAN,"Nhà sản xuất switch Ethernet công nghiệp, bộ chuyển đổi quang điện và thiết bị mạng công nghiệp.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.582309+00,https://www.etherwan.com/,Tên chuẩn của hãng là EtherWAN.,Đài Loan,,,
a340c5f5-8c16-4d93-849f-510a2aacca68,PTEL,PTEL,Tên viết tắt/nhãn thiết bị chưa đủ thông tin để xác định chính xác nhà sản xuất.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.687777+00,https://ptel.com.vn/,"Cần đối chiếu model, lĩnh vực thiết bị hoặc hồ sơ nhà cung cấp.",Việt Nam,,,
81227fc4-ef2d-4334-bb0e-bb1849fdb2c2,ADVANTECH,Advantech,"Nhà cung cấp máy tính công nghiệp, thiết bị tự động hóa, IoT và nền tảng điện toán biên.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:51.794202+00,https://www.advantech.com/,Đã bổ sung theo thông tin công khai của hãng.,Đài Loan,,,
8c53503a-8e6c-4698-bb44-06b929060b8a,ALL_WEATHER,"All Weather, Inc. (ADB SAFEGATE)","Thương hiệu hệ thống quan trắc thời tiết hàng không, cảm biến tầm nhìn và AWOS; hiện thuộc ADB SAFEGATE.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:49.460867+00,https://adbsafegate.com/,"Đã gộp các bản ghi trùng/biến thể: ALL_WEATHER, AWI.",Hoa Kỳ,,,
c85fdaff-10e3-4775-a3df-755fcf2bcd1c,N_A,N/A,,0,t,2026-07-11 15:32:10.469564+00,2026-07-13 03:48:51.897356+00,,,,,,
f3ac5754-f684-4ba1-8fd4-dd0a2242dad2,HP,HP,"Nhà sản xuất máy tính cá nhân, máy in và thiết bị/phụ kiện CNTT.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.003832+00,https://www.hp.com/,Không nhầm với Hewlett Packard Enterprise (HPE).,Hoa Kỳ,,,
2a565b05-c0d0-42be-9b54-6cc88819c43f,FORTINET,Fortinet,"Nhà cung cấp giải pháp an ninh mạng, tường lửa FortiGate, SD-WAN và bảo mật hạ tầng.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:54.807894+00,https://www.fortinet.com/,Đã bổ sung theo thông tin công khai của hãng.,Hoa Kỳ,,,
b11241f8-c9ca-4d03-83f6-a1c440883a76,VOICECOLLECT_ATIS_UHER,VoiceCollect (ATIS UHER),Nhà sản xuất hệ thống ghi âm thoại và dữ liệu chuyên dụng; dòng VC-MDx hỗ trợ ghi đa kênh và giao diện TDM/VoIP.,63,t,2026-07-12 07:05:25.649841+00,2026-07-13 03:48:52.112923+00,https://www.voicecollect.de/,Chuẩn hóa từ “Atis Uher (Đức)” trong bảng nguồn; thương hiệu/sản phẩm hiện được nhận diện là VoiceCollect VC-MDx.,Đức,,,
0217cfde-f2e2-4de6-b99f-5d74b0925551,ICOM,Icom,Nhà sản xuất thiết bị thông tin liên lạc VHF/UHF hàng không và hàng hải. Sản phẩm tiêu biểu: IC-A200 VHF transceiver.,0,t,2026-07-13 03:48:56.426775+00,2026-07-13 03:48:56.426775+00,https://www.icom.co.jp/world/,,Nhật Bản,,,
15e83d23-05bd-4900-8778-2b890ccf73ea,JOTRON,Jotron,"Nhà sản xuất thiết bị thông tin liên lạc VHF hàng không và hàng hải. Sản phẩm: TR-7750 Transceiver, TA-7650 Transmitter, RA-7203 Receiver.",0,t,2026-07-13 03:48:56.66403+00,2026-07-13 03:48:56.66403+00,https://www.jotron.com/,,Na Uy,,,
8a078690-3935-478c-9d8c-92ed4818430f,GILL,Gill Instruments,"Nhà sản xuất cảm biến gió siêu âm, trạm khí tượng và thiết bị đo môi trường.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.325229+00,https://gillinstruments.com/,Tên đầy đủ thường dùng: Gill Instruments.,Vương quốc Anh,,,
d1cca3c3-700f-4aa7-b3bf-f23dc6e9498a,GLOBE,GLOBE,"Tên thương hiệu quá chung, chưa đủ thông tin để xác định đúng nhà sản xuất.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.428856+00,Chưa xác định,"Cần bổ sung model, loại thiết bị hoặc ảnh nhãn.",Chưa xác định,,,
986ba52f-6288-4a7d-8709-48a2af4bd36c,KINAN,Kinan,"Nhà sản xuất thiết bị KVM, bộ chuyển mạch console và giải pháp quản trị máy chủ.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.536838+00,https://www.kinankvm.com/,Đã bổ sung theo thông tin công khai của hãng.,Trung Quốc,,,
611a5c28-4a9f-422b-b70c-5e246ba1f5fc,LPT,LPT,Tên viết tắt chưa đủ thông tin để xác định chính xác nhà sản xuất.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.646438+00,Chưa xác định,"Cần đối chiếu model, loại thiết bị hoặc logo.",Chưa xác định,,,
ad5bae28-70da-4528-a406-c5c52467e25e,MTECH,M-Tech,Tên thương hiệu chưa đủ đặc trưng để định danh chắc chắn nhà sản xuất.,0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.754863+00,Chưa xác định,"Đã gộp các bản ghi trùng/biến thể: MTECH, MTECH_2, M_TECH.",Chưa xác định,,,
0e8dbaf8-aa3e-4d9d-bab2-99b08381f6f9,MEANWELL,MEAN WELL,"Nhà sản xuất bộ nguồn chuyển mạch, nguồn DIN rail, inverter và bộ sạc công nghiệp.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.862344+00,https://www.meanwell.com/,"Đã gộp các bản ghi trùng/biến thể: MEANWELL, MEANWELL_2, MEANWELLS.",Đài Loan,,,
ccabe12e-a9a1-47c5-94e7-0867f318a20d,METEOSERVIS,METEOSERVIS,"Nhà cung cấp hệ thống khí tượng, quan trắc sân bay và tích hợp thiết bị đo thời tiết.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:52.97621+00,https://www.meteoservis.cz/,"Đã gộp các bản ghi trùng/biến thể: METEOSERVIS, METEO_SERVIS.",Cộng hòa Séc,,,
54e09535-2d7f-4319-812f-aee0a4916ed6,MICROSTEP_MIS,MicroStep-MIS,"Nhà phát triển hệ thống quan trắc khí tượng, AWOS, khí hậu, môi trường và xử lý dữ liệu.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:53.079774+00,https://www.microstep-mis.com/,Đã bổ sung theo thông tin công khai của hãng.,Slovakia,,,
a5454b1e-b677-4fd8-8494-b4c080de867d,MOXA,Moxa,"Nhà sản xuất thiết bị mạng công nghiệp, serial device server, gateway và máy tính công nghiệp.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:53.194344+00,https://www.moxa.com/,"Đã gộp các bản ghi trùng/biến thể: MOXA, MOXA_2.",Đài Loan,,,
54f5eb32-6a74-4b21-aae3-46cc63e2271b,NESA,NESA,"Nhà sản xuất và tích hợp cảm biến, trạm quan trắc khí tượng, thủy văn và môi trường.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:53.307405+00,https://www.nesa-srl.it/,Đã bổ sung theo thông tin công khai của hãng.,Ý,,,
c8acb234-d521-4934-a5d9-7ba29ec24264,NETGEAR,NETGEAR,"Nhà sản xuất thiết bị mạng cho doanh nghiệp và gia đình: switch, router, Wi-Fi và lưu trữ mạng.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:53.412344+00,https://www.netgear.com/,Đã bổ sung theo thông tin công khai của hãng.,Hoa Kỳ,,,
1f8c6a88-4da8-4cff-bf77-616d07522c3c,OBSERVATOR,Observator Group,"Nhà sản xuất thiết bị đo khí tượng, tầm nhìn, sóng/dòng chảy và hệ thống quan trắc hàng hải.",0,t,2026-07-11 09:50:09.894644+00,2026-07-13 03:48:53.525066+00,https://observator.com/,Tên tập đoàn: Observator Group.,Hà Lan,,,
