id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,phan_loai_id,merged_into,deactivated_at
67a95071-c65d-45cf-831d-95da247fad20,AMHS,AMHS,Hệ thống xử lý điện văn hàng không (Aeronautical Message Handling System).,5,t,2026-07-12 07:31:23.845297+00,2026-07-13 03:48:48.182039+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
e30446a4-4bc6-4103-915b-bb67c596a4c9,GHI_AM,Ghi âm,Hệ thống ghi âm thoại/dữ liệu phục vụ khai thác và giám sát thông tin hàng không.,6,t,2026-07-12 07:31:24.004754+00,2026-07-13 03:48:48.313433+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
d7faf284-1a3a-4e53-9433-8476900a66e7,AWOS,AWOS,,4,t,2026-07-11 07:09:00.413616+00,2026-07-13 03:48:48.431571+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
12b54ce6-495f-45af-9441-91e71bc26e21,VCCS,VCCS,,0,t,2026-07-13 09:18:50.567531+00,2026-07-13 09:19:56.027553+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
1ff8845b-1715-492a-8992-ae6b779f1022,VHF,VHF,"Hệ thống thông tin liên lạc VHF hàng không (VHF Air Band Communication), phục vụ liên lạc không-địa giữa tổ bay và kiểm soát viên không lưu.",7,t,2026-07-13 03:48:48.54967+00,2026-07-13 09:21:40.505163+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
eebf2c65-5e6c-4357-9c64-0ff31b4bfb74,RADAR,Radar,,6,t,2026-07-14 14:14:16.712132+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
40639cfa-4987-4c83-b681-2a2c6722e923,D_ATIS,D-ATIS,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
aa325661-0d5b-4a8b-8fd5-7ec8f4e62e2b,CLK,Đồng hồ chuẩn,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
300ff615-627e-424f-aeb4-fca146b3cfc5,RDP,RDP,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
efcba64f-50d4-49d8-b61e-6976dbbcc586,NET,Mạng / Chuyển mạch,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
00aa35b7-2086-4552-8be6-defa3f7c713c,AIS,AIS,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
f7f70220-b8ad-4e53-8a3c-d5e4931f52e3,SIM,SIM,,0,t,2026-07-14 14:15:56.835189+00,2026-07-17 09:25:19.425585+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
60dc49b4-f989-4d07-97ef-ddfc1c785f0c,ADS_B,ADS_B,,0,t,2026-07-17 01:20:13.233503+00,2026-07-17 14:05:14.032935+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
da328c82-5dc1-4a5f-9a26-b4a9aa2675ad,QA_GRANT_1784866206,QA Grant Group 1784866206,,0,t,2026-07-24 04:10:07.179228+00,2026-07-24 04:10:07.179228+00,7cde6563-24dc-4f89-acdf-76e239caa2ae,,
cd8bcfcd-6f22-42a6-beed-93fba01fa274,QA5_NH_1784866551,QA5 nhóm kiểm quyền 1784866551,,0,t,2026-07-24 04:15:52.631908+00,2026-07-24 04:15:52.631908+00,f024c88e-8702-49c8-a302-15b93f6acb3c,,
