id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,parent_id,merged_into,deactivated_at
8d0b92cb-6a62-4fbe-9b51-9399ee0e1843,TWR_PBA,TWR PBA,Đài kiểm soát không lưu (Tower) thuộc Đài KSKL Phú Bài.,49,t,2026-07-12 07:05:39.303797+00,2026-07-13 03:49:01.413416+00,f2fc02ce-e02e-4841-b1ca-76109939c834,,
19eefd03-4be3-423a-a8a9-b07d5805587e,PHONG_THIET_BI_CRA,Phòng thiết bị CRA,,0,t,2026-07-13 06:58:08.962953+00,2026-07-13 06:58:08.962953+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
08bafdb2-59e6-4b78-8bdb-87239ba43c9f,PHONG_TRUC_THIET_BI_PBA,Phòng trực thiết bị PBA,,0,t,2026-07-13 06:59:24.682279+00,2026-07-13 06:59:24.682279+00,f2fc02ce-e02e-4841-b1ca-76109939c834,,
059f98da-abc8-4392-912b-50fae5e49fba,PHONG_TRUC_THIET_BI_PLK,Phòng trực thiết bị PLK,,0,t,2026-07-13 07:01:37.763479+00,2026-07-13 07:01:37.763479+00,92c6b459-8433-4c92-87b6-f676710a6def,,
1e9df900-2211-47fd-972c-60c94f59f0ea,PHONG_TRUC_THIET_BI_THO,Phòng trực thiết bị THO,,0,t,2026-07-13 07:03:35.120665+00,2026-07-13 07:03:35.120665+00,f5682b06-a485-477b-b30c-d643869e15f9,,
b2fac103-f19c-4f49-a28c-75ff2b19b3c6,KHO_PBA,Kho PBA,,0,t,2026-07-13 07:29:36.024032+00,2026-07-13 09:10:32.183233+00,f2fc02ce-e02e-4841-b1ca-76109939c834,,
d6b29cce-122f-4e60-96f4-9fe47ec847c4,KHO_QNH,Kho QNH,,0,t,2026-07-13 07:30:46.64266+00,2026-07-13 09:11:03.063277+00,b9920a9e-70f1-4d4b-9eab-ec2e89eaf29b,,
eff0521c-6c8d-469c-a633-b9b80159bb89,KHO_THO,Kho THO,,0,t,2026-07-13 07:30:17.622778+00,2026-07-13 09:11:10.794459+00,f5682b06-a485-477b-b30c-d643869e15f9,,
6ee5f085-d0b4-4edc-baac-764a1cddfc55,PHONG_NGUON_PBA,Phòng nguồn PBA,,0,t,2026-07-13 04:27:42.917335+00,2026-07-13 04:27:42.917335+00,f2fc02ce-e02e-4841-b1ca-76109939c834,,
6dcbb7e7-c4a6-4d3d-9a88-53d62cd701f9,PHONG_NGUON_CRA,Phòng nguồn CRA,,0,t,2026-07-13 06:58:22.839499+00,2026-07-13 06:58:22.839499+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
a3d7edef-b299-461e-970b-52d82fb5abe9,PHONG_TRUC_THIET_BI_CRA,Phòng trực thiết bị CRA,,0,t,2026-07-13 06:59:35.583164+00,2026-07-13 06:59:35.583164+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
b6a58421-89e5-4d9d-99f2-3f0f6aa2c3bc,TWR_THO,TWR THO,,0,t,2026-07-13 07:02:43.072587+00,2026-07-13 07:02:43.072587+00,f5682b06-a485-477b-b30c-d643869e15f9,,
bae40e3a-ff95-4fa6-b2e3-fae566ddc885,PHONG_TRUC_THIET_BI_PCA,Phòng trực thiết bị PCA,,0,t,2026-07-13 07:05:03.295879+00,2026-07-13 07:05:03.295879+00,79845fbe-3dd4-42f8-8219-07b7917684d8,,
9aa45090-3c5e-43cd-b458-9201151db65f,KHO_CLA,Kho CLA,,0,t,2026-07-13 07:29:43.020285+00,2026-07-13 09:10:02.895371+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
