id,template_id,key,label,kind,required,options,help_text,placeholder,default_value,position,created_at,updated_at,unit,tieu_chuan,min_value,max_value,col_span,visible_if,columns,ratings,formula,nhom,required_if,constraint_formula,constraint_message
aef6bf87-c2ff-46a2-a10c-bb05b86cb56f,2defc064-ce2b-4136-8cf0-1ffe20a66d59,can_cu,Căn cứ,textarea,f,,,,,1,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
2edfbbbd-8953-4ad3-a18b-6ba4bc00b16f,2defc064-ce2b-4136-8cf0-1ffe20a66d59,ngay_lap,Ngày lập biên bản,date,t,,,,,2,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
5eecdc72-9dd5-4284-ad50-49b7fd32cf26,2defc064-ce2b-4136-8cf0-1ffe20a66d59,dd_quan_ly,Đại diện đơn vị quản lý,textarea,f,,Ông/bà — Chức vụ,,,3,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
a729b351-e92e-48e8-b903-bfa669ea9a5e,2defc064-ce2b-4136-8cf0-1ffe20a66d59,dd_su_dung,Đại diện đơn vị sử dụng,textarea,f,,Ông/bà — Chức vụ,,,4,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
ecaf4599-f66d-434c-800e-66c50a658b84,2defc064-ce2b-4136-8cf0-1ffe20a66d59,dd_sua_chua,Đại diện đơn vị sửa chữa,textarea,f,,Ông/bà — Chức vụ,,,5,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
0319170d-b2f9-4fda-944b-4aa9d8e746eb,2defc064-ce2b-4136-8cf0-1ffe20a66d59,dd_phong,"Đại diện các phòng chức năng (KT, KH, TC — nếu có)",textarea,f,,,,,6,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
d2397551-61f4-4074-ac3a-d4e0d98e43dc,2defc064-ce2b-4136-8cf0-1ffe20a66d59,chung_loai,Chủng loại thiết bị,text,f,,VD: Thiết bị VHF A/G,,,7,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
af74ec63-4099-45dc-b11b-c7b6d1032a67,2defc064-ce2b-4136-8cf0-1ffe20a66d59,hang_sx,Hãng sản xuất,text,f,,,,,8,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
f7308181-48a6-4277-bbe8-2fcf518916e7,2defc064-ce2b-4136-8cf0-1ffe20a66d59,nguon_goc,"Nguồn gốc, xuất xứ",text,f,,,,,9,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
f57b1937-09aa-4358-adf9-691ba5eff98f,2defc064-ce2b-4136-8cf0-1ffe20a66d59,model,Tên thiết bị (Model),text,f,,,,,10,2026-07-08 15:38:00.816217+00,2026-07-08 15:38:00.816217+00,,,,,3,,,,,,,,
