id,he_thong_id,don_vi,tram,he_thong_folder,gp_so,gp_ngay,gp_han,gp_cu,ten_he_thong_theo_gp,nam_sx_gp,he_thong_csdl,trang_thai_doi_chieu,kieu_thiet_bi,so_san_xuat,noi_san_xuat,muc_dich,pham_vi,ma_dia_chi,dia_diem,thoi_gian,thanh_phan_theo_gp,created_at,updated_at,attrs,luu_tru
f75dc398-117f-4225-8664-edeaed3a0ccd,2ff61646-a8e8-40ac-a328-9671e72ea0d5,CLA,Đài KSKL Chu Lai,,622/GP-CHK,2025-02-07,2027-02-12,3541/GP-CHK,Máy thu phát VHF thoại không - địa,"2016, 2024, 1998",,,"Máy phát: SU4200, TA-7650; Máy thu: EU4200C, RA-7203; Máy thu phát: IC-A200","Máy chính: 105877 (SU4200), 105825 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200)","Séc, Na Uy, Nhật Bản",Điều hành bay (TWR Chu Lai),Bán kính R = 60 km,Không,"Đài KSKL Chu Lai - Cảng HK Chu Lai; tọa độ WGS-84: 15°24′37,6″B - 108°42′22,6″Đ",24/24h,"Tên: Máy thu phát VHF thoại không - địa || Model: Máy phát: SU4200, TA-7650; Máy thu: EU4200C, RA-7203; Máy thu phát: IC-A200 || Serial: Máy chính: 105877 (SU4200), 105825 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200) || SX: Séc, Na Uy, Nhật Bản. Năm sản xuất: 2016, 2024, 1998 || Tính năng: Liên lạc thoại không - địa, thiết bị có cấu hình chính - dự phòng; điều chế AM, tần số làm việc 118,25 MHz, công suất phát: 50W (SU4200, TA- 7650), 7W (IC-A200); phân cực đứng; phương thức phát 6K80A3E (SU4200, TA- 7650), 6K00A3E (IC-A200), độ nhạy máy thu 1µV (EU4200C, RA-7203), 2µV (IC- A200); ăng ten cao 12 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không - địa; Mục đích sử dụng: Điều hành bay (TWR Chu Lai)",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
601b188a-92db-4c3b-b8d2-f6023ff72b38,688f3252-355d-48f5-93c2-813d7a9ce198,CLA,Đài KSKL Chu Lai,,624/GP-CHK,2025-02-07,2027-02-12,3542/GP-CHK,Máy thu phát VHF thoại không - địa,"2016, 2024, 1998",,,"Máy phát: SU4200, TA-7650; Máy thu: EU4200C, RA-7203; Máy thu phát: IC-A200","Máy chính: 105879 (SU4200), 105824 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200)","Séc, Na Uy, Nhật Bản","Liên lạc trên tần số khẩn nguy 121,5 MHz (TWR Chu Lai)",Bán kính R = 60 km,Không,"Đài KSKL Chu Lai - Cảng HK Chu Lai; tọa độ WGS-84: 15°24′37,6″B - 108°42′22,6″Đ",24/24h,"Tên: Máy thu phát VHF thoại không - địa || Model: Máy phát: SU4200, TA-7650; Máy thu: EU4200C, RA-7203; Máy thu phát: IC-A200 || Serial: Máy chính: 105879 (SU4200), 105824 (EU4200C). Máy dự phòng: 105878, 105880 (SU4200), 105822, 105823 (EU4200C); 20938 (TA-7650), 21050 (RA-7203); 14248 (IC-A200) || SX: Séc, Na Uy, Nhật Bản. Năm sản xuất: 2016, 2024, 1998 || Tính năng: Liên lạc thoại không - địa; thiết bị có cấu hình chính - dự phòng; điều chế AM, tần số làm việc 121,5 MHz; công suất phát 50W (SU4200, TA- 7650), 7W (IC-A200); phân cực đứng; phương thức phát 6K80A3E (SU4200, TA- 7650), 6K00A3E (IC-A200); độ nhạy máy thu 1µV (EU4200C, RA-7203), 2µV (IC- A200); ăng ten cao 12 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không - địa; Mục đích sử dụng: Liên lạc trên tần số khẩn nguy 121,5 MHz (TWR Chu Lai)",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
8727fbce-1a0b-4893-8421-805cb4d7f000,cc8602d3-1b8b-47c2-8423-f6102cdf80ae,CLA,Đài KSKL Chu Lai,,6812/GP-CHK,2025-12-31,2028-01-10,5087/GP-CHK,Máy thu phát VHF thoại không - địa,"2013, 2016, 2022",,,"Máy phát: Park Air T6T, S5200VT; Máy thu: Park Air T6R, EU4200C","Máy chính: 6U11312 (T6T), 6U16868 (T6R); Máy dự phòng: 6U11314 (T6T), 6U16875 (T6R); 100439 (S5200VT), 100159 (EU4200C)","Anh, Séc",Điều hành bay (Phân khu 4 - ACC HAN),Tầm phủ 460 km,Không,"Đài KSKL Chu Lai, xã Núi Thành, TP. Đà Nẵng; tọa độ WGS-84: 108°42′22,60″Đ - 15°24′37,61″B",24/24h,"Tên: Máy thu phát VHF thoại không – địa || Model: Máy phát: Park Air T6T, S5200VT; Máy thu: Park Air T6R, EU4200C || Serial: Máy chính: 6U11312 (T6T), 6U16868 (T6R); Máy dự phòng: 6U11314 (T6T), 6U16875 (T6R); 100439 (S5200VT), 100159 (EU4200C) || SX: Anh (T6T/T6R), Séc (S5200VT/EU4200C). Năm sản xuất: 2013 (T6T/T6R), 2016 (EU4200C), 2022 (S5200VT) || Tính năng: Liên lạc thoại không - địa; thiết bị có cấu hình chính - dự phòng; điều chế AM; tần số làm việc 123,3 MHz (sử dụng offset -5kHz); công suất phát 50W; phân cực đứng; phương thức phát 6K80A3E; độ nhạy máy thu 2µV; ăng ten cao 20 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không – địa",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
d6f9a842-a70c-4baf-9b74-6a1255bac116,f1857ffb-e969-465d-b690-c958b1950afc,CLA,Đài KSKL Chu Lai,,4548/GP-CHK,2024-09-06,2026-09-12,7180/GP-CHK,Máy thu phát VHF thoại không - địa,2013,,,Máy phát: Park Air T6T; Máy thu: Park Air T6R,"Máy chính: 6U11305 (T6T), 6U16861 (T6R). Máy dự phòng: 6U11310 (T6T), 6U16867 (T6R)",Anh,Điều hành bay (dự phòng Phân khu 4 - ACC HAN),Bán kính R = 463 km,Không,"Đài KSKL Chu Lai, huyện Núi Thành, tỉnh Quảng Nam; tọa độ WGS-84: 15°24′37,61″B - 108°42′22,60″Đ",24/24h,"Tên: Máy thu phát VHF thoại không - địa || Model: Máy phát: Park Air T6T; Máy thu: Park Air T6R || Serial: Máy chính: 6U11305 (T6T); 6U16861 (T6R). Máy dự phòng: 6U11310 (T6T); 6U16867 (T6R) || SX: Anh. Năm sản xuất: 2013 || Tính năng: Liên lạc thoại không - địa; thiết bị có cấu hình chính - dự phòng; điều chế AM; tần số làm việc 124,55 MHz; công suất phát tối đa 50W; phân cực đứng; phương thức phát 6K80A3E; độ nhạy máy thu 2µV; ăng ten cao 20 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không - địa",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
b38b0bff-fa6a-4ed5-a6da-931161b8bcb6,4a7558f6-cf8d-44ef-8273-f1a431844b28,CLA,Đài KSKL Chu Lai,,4215/GP-CHK,2025-09-18,2027-10-11,,Máy thu phát VHF thoại không - địa,2017,,,Máy phát: Park Air T6T; Máy thu: Park Air T6R,"Máy chính: 173711 (T6T), 173702 (T6R); Máy dự phòng: 173710 (T6T), 173703 (T6R)",Anh,"Liên lạc trên tần số khẩn nguy 121,5 MHz (Phân khu 4 - ACC HAN)",Bán kính R = 463 km,Không,"Đài KSKL Chu Lai, Cảng HK Chu Lai; tọa độ WGS-84: 15°24′37,61″B - 108°42′22,60″Đ",24/24h,"Tên: Máy thu phát VHF thoại không – địa || Model: Máy phát: Park Air T6T; Máy thu: Park Air T6R || Serial: Máy chính: 173711 (T6T); 173702 (T6R); Máy dự phòng: 173710 (T6T); 173703 (T6R) || SX: Anh. Năm sản xuất: 2017 || Tính năng: Liên lạc thoại không - địa; thiết bị có cấu hình chính - dự phòng; điều chế AM; tần số làm việc 121,5 MHz; công suất phát 50W; phân cực đứng; phương thức phát 6K80A3E; độ nhạy máy thu 1µV; ăng ten cao 20 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không – địa",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
c325fdf3-d5f3-4bde-bf92-023d73fab44d,c55cf610-3503-410f-8d34-8b270ffd64b5,BDKT,Cảng HKQT Đà Nẵng,,1061/GP-CHK,2025-02-27,2027-03-01,,"Hệ thống thu thập, xử lý số liệu khí tượng cơ bản (GTS)",2007,,,"Máy tính thông tin điền đồ, máy vẽ",Không áp dụng,Việt Nam,"Tạo các bản đồ, giản đồ thời tiết phục vụ công tác dự báo, cảnh báo thời tiết sân bay",Khu vực Cảng HKQT Đà Nẵng,Không áp dụng,"Cảng HKQT Đà Nẵng, Tp. Đà Nẵng",24/24h,"Tên: Hệ thống thu thập, xử lý số liệu khí tượng cơ bản (GTS) || Model: Máy tính thông điền đồ, máy vẽ || Serial: Không áp dụng || SX: Việt Nam; Năm sản xuất: 2007 || Tính năng: Hệ thống máy tính tự động thu thập, xử lý số liệu khí tượng cơ bản GTS; phần mềm xử lý, điền các bản đồ, giản đồ thời tiết || Cảm biến/thành phần: c) Availability of routine maintenance records on all sensors; d) Regular physical inspection of all sensors and maintaining; 3.4.3 Alarming system for sensor failures Technical supervision",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
843ab383-6eaa-46ab-b1f4-b6bd9f6b7e0f,fc891ab6-c9f2-4508-81bd-1db46eb70aaf,CLA,Đài KSKL Chu Lai,,602/GP-CHK,2025-02-07,2027-02-12,3540/GP-CHK,Ghi âm,"2024, 2014",,,Atis Uher VoiceCollect MD-x và Attech AR-16-A Standard,Máy chính: 049002-401228; Máy dự phòng: 033,"Đức, Việt Nam",Ghi âm liên lạc thoại không - địa (A/G) và địa - địa (G/G),Đài KSKL Chu Lai - Cảng HK Chu Lai,Không,Đài KSKL Chu Lai - Cảng HK Chu Lai,24/24h,"Tên: Ghi âm || Model: Atis Uher VoiceCollect MD-x và Attech AR-16-A Standard || Serial: Máy chính: 049002-401228; Máy dự phòng: 033 || SX: Đức (Atis Uher), Việt Nam (Attech); Năm sản xuất: 2024, 2014 || Tính năng: - Thiết bị ghi âm Atis Uher VoiceCollect MD-x có 32 kênh ghi; lưu trữ trực tiếp trên 02 ổ cứng: dung lượng 02x2TB (RAID-1); lưu trữ bên ngoài thông qua ổ RDX 1TB. - Thiết bị ghi âm Attech AR-16-A Standard có 32 kênh ghi; lưu trữ trực tiếp trên 02 ổ cứng: dung lượng 02x500GB (RAID-1); lưu trữ bên ngoài thông qua ổ DVD-RAM (dung lượng 01x4,7GB). (Chi tiết các kênh ghi như trong phụ lục kèm theo) || phụ lục kèm theo): 9. Địa điểm đặt thiết bị: Đài KSKL Chu Lai - Cảng HK Chu Lai || Phụ lục: Danh mục các kênh ghi âm tại Đài KSKL Chu Lai; (Kèm theo Giấy phép số: 602 /GP-CHK ngày 07 tháng 02 năm 2025); Stt Nội dung kênh ghi Ghi chú; 1 RX 118,25 Máy thu R&S tần số 118,25 MHz Main; 2 RX 118,25 Máy thu R&S tần số 118,25 MHz Standby; 3 RX 121,5 Máy thu R&S tần số 121,5 MHz Main; 4 RX 121,5 Máy thu R&S tần số 121,5 MHz Standby; 5 VHF TWR#1 VHF dự phòng cho 118,25 MHz và 121,5 MHz; 6 VHF TWR#2 VHF dự phòng cho 118,25 MHz và 121,5 MHz; 7 CWP1 Ghi âm vị trí CWP1; 8 CWP2 Ghi âm vị trí CWP2; 9 Hotline APP DAN - CLA1 Liên lạc APP DAN với TWR CLA; 10 Hotline APP DAN - CLA2 Liên lạc APP DAN với TWR CLA; 11 Hotline CTL DAN - CLA1 Liên lạc CTL DAN với TWR CLA; 12 Hotline CTL DAN - CLA2 Liên lạc CTL DAN với TWR CLA; 13 Bộ đàm TM271 Liên lạc TWR CLA - Cảng HK Chu Lai (Tần số 146,7125 MHz); 0235.2243966; 0235.3535517; 15 Điện thoại VNPT, đặt tại phòng thủ tục bay; 0235.3535955; 16 Điện thoại VNPT, đặt tại phòng thủ tục bay; 0235.3535556; 17 Điện thoại VNPT, đặt tại phòng trực kỹ thuật; 0235.3535553; 18 Điện thoại VNPT, đặt tại phòng trực an ninh; 0235.3535555; 19 Điện thoại VNPT, đặt tại phòng đài trưởng; 5333; 21 PBX, QLBMT, máy đặt tại TWR CLA; 5335; 22 PBX, QLBMT, máy đặt tại phòng trực kỹ thuật; 8914; 23 PBX, QLBMB, máy đặt tại phòng trực kỹ thuật",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
354a0bfa-64ba-4f97-945f-ee919c2651c5,4fbd5536-e530-4f9b-97d3-d194186c33de,CLA,Đài KSKL Chu Lai,,608/GP-CHK,2026-01-30,2028-02-01,2144,Hệ thống quan trắc thời tiết tự động IMS,2015,,,IMS,TX000843; 1M31X63,Slovakia,Quan trắc và báo cáo thời tiết sân bay phục vụ hoạt động bay,Khu vực Cảng hàng không Chu Lai,Không áp dụng,"Cảng hàng không Chu Lai, TP. Đà Nẵng",24/24h,"Tên: Hệ thống quan trắc thời tiết tự động IMS. - || Model: IMS || Serial: TX000843; 1M31X63 || SX: Slovakia. Năm sản xuất: 2015 || Tính năng: Trong phụ lục kèm theo || phụ lục kèm theo: 9. Địa điểm đặt thiết bị: Cảng hàng không Chu Lai, TP. Đà Nẵng || PHỤ LỤC: (Kèm theo Giấy phép số 608 /GP-CHK ngày 30/01/2026); Thiết bị ngoài trời: Các thiết bị đo lắp đặt tại các trạm dọc đường CHC, bao gồm:; - Vị trí đầu CHC 32:; + 01 bộ cảm biến đo hướng và tốc độ gió; + 01 bộ cảm biến đo tầm nhìn và hiện tượng thời tiết; + 01 cảm biến ánh sáng nền; + 01 cảm biến đo nhiệt độ; + 01 cảm biến đo độ ẩm; + 01 cảm biến đo khí áp; + 01 cảm biến đo lượng mưa; + 01 cảm biến đo giông; - Vị trí trần mây CHC 32:; + 01 cảm biến đo độ cao chân mây đặt tại khu vực tiếp cận đầu CHC; - Vị trí đầu CHC 14:; + 01 bộ cảm biến đo hướng và tốc độ gió; + 01 bộ cảm biến đo tầm nhìn và hiện tượng thời tiết; + 01 cảm biến ánh sáng nền; - Vị trí trần mây CHC 14:; + 01 cảm biến đo độ cao chân mây đặt tại khu vực tiếp cận đầu CHC; b) Thiết bị trong nhà:; - Vị trí xử lý dữ liệu trung tâm: 02 máy tính xử lý số liệu (máy chủ, đặt tại Đài; KSKL Chu Lai), lưu trữ số liệu khí tượng, kết nối AMHS (VVCAYMYW); - 02 đầu cuối tại vị trí khai thác của nhân viên quan trắc tại Đài KSKL Chu Lai; - 01 đầu cuối hiển thị số liệu khí tượng tại cabin Đài KSKL Chu Lai; - 01 đầu cuối hiển thị số liệu khí tượng từ xa đặt tại Phòng Dự báo - Trung tâm Khí; - 01 thiết bị giao tiếp với hệ thống đèn đường băng; văn METAR, MET REPORT và truyền về các thiết bị đầu cuối. Quan trắc viên có thể",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
5e4c41d6-f910-45cb-b42f-0269137bfa42,1048831c-985f-452d-a1ea-8e832d6eb690,CLA,Đài KSKL Chu Lai,,4853/GP-CHK,2024-09-23,2026-10-01,,"Thiết bị đo đạc quan trắc thông dụng (đo nhiệt độ, độ ẩm, đo gió hiển thị số và khí áp hiển thị số)","2022, 2023",,,Thiết bị thủ công,Gió WindObserver (GILL): 2302004; Khí áp PTB 330: V0821322; Nhiệt kế WQG-11: 50 và 57,"Anh, Phần Lan, Trung Quốc",Làm dự phòng đo các yếu tố khí tượng và cung cấp số liệu phục vụ hoạt động bay,Khu vực Cảng hàng không Chu Lai,Không áp dụng,"Cảng hàng không Chu Lai, tỉnh Quảng Nam",24/24h,"Tên: Thiết bị đo đạc quan trắc thông dụng (đo nhiệt độ, độ ẩm, đo gió hiển thị số và khí áp hiển thị số) || Model: Thiết bị bị thủ công || Serial: Gió WindObserver (GILL): 2302004; Khí áp PTB 330: V0821322; Nhiệt kế thủy tinh chất lỏng WQG-11: 50 và 57 || SX: Anh, Phần Lan, Trung Quốc. Năm sản xuất: 2022, 2023 || Tính năng: Khí áp PTB 330 (phạm vi đo 500 ÷ 1100 hPa, sai số ±0,1 hPa); Gió WindObserver (GILL) (phạm vi đo tốc độ gió 0 ÷ 90 m/s, sai số ±2%; phạm vi đo hướng gió 0° ÷ 360°, sai số ±2°); Nhiệt kế thủy tinh chất lỏng WQG-11 (phạm vi đo (-25 ÷ 50)°C, sai số ± 0,3°C). [PB] || Cảm biến/thành phần: 1. Tên thiết bị: Thiết bị đo đạc quan trắc thông dụng (đo nhiệt độ, độ ẩm, đo gió hiển thị số; Chu Lai (thiết bị dự Thiết bị đo nhiệt độ, độ; 3.1 Location/siting of sensors/ equipment appropriate; complying with ICAO SARPs / Thiết bị đo được; 3.2 Serviceability of AWOS Sensors/ Tình trạng hoạt - Article 336 ANS; động của thiết bị đo - 14.1, 14.2 MOS-MET Vol; liệu hệ thống/ thiết bị đo; sensors and central data processing system / Nhật ký; d) Regular physical inspection of all sensors and; 3.4.3 Calibration of measuring sensors / Hiệu chuẩn thiết bị 14.2.5 MOS-MET Vol; liệu hướng dẫn về hiệu chuẩn thiết bị đo tại đơn vị; c) Availability of periodic sensor calibration Records; sensor failures Technical supervision position / Khả - DOC 8896 – Manual on MET; năng theo dõi hoạt động liên tục của các thiết bị đo practices; (cảm biến đo)/ chức năng cảnh báo lỗi dữ liệu của hệ - Standards for AWOS (TCCS 01; 3.5.1 Availability of lightning protection on all sensors / Hệ N/A",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
0b4aeac3-f0c4-4e51-8545-e7f3bc48d8be,77e611b4-bebe-4d1b-8223-a1536015a91a,BDKT-QNH,Trạm ra đa Quy Nhơn,,6824/GP-CHK,2024-12-13,2027-01-18,,Máy thu phát VHF thoại không - địa,2013,,,Máy phát: Park Air T6T; Máy thu: Park Air T6R,Máy chính: 6U11301 (T6T); 6U16872 (T6R); Máy dự phòng: 173709 (T6T); 6U16864 (T6R),Anh,Điều hành bay (Dự phòng Phân khu 1 - ACC HCM),Bán kính R = 463 km,Không,"Trạm ra đa Quy Nhơn, núi Vũng Chua",24/24h,"Tên: Máy thu phát VHF thoại không - địa || Model: Máy phát: Park Air T6T; Máy thu: Park Air T6R || Serial: Máy chính: 6U11301 (T6T); 6U16872 (T6R); Máy dự phòng: 173709 (T6T); 6U16864 (T6R) || SX: Anh. Năm sản xuất: 2013 || Tính năng: Liên lạc thoại không - địa; thiết bị có cấu hình chính - dự phòng; tần số làm việc 125,375 MHz; công suất phát 50W; phân cực đứng; phương thức phát 6K80A3E; độ nhạy máy thu SINAD = 12dB (với mức tín hiệu -107dBm (1V), độ sâu điều chế 30%); điều chế AM; ăng ten cao 10 mét || Kênh/thành phần: Tên thiết bị: Máy thu phát VHF thoại không - địa",2026-07-14 14:32:36.368632+00,2026-07-14 14:32:36.368632+00,{},f
