id,he_thong_id,ma_thanh_phan,ten,loai_thiet_bi_yeu_cau,thanh_phan_cha,bat_buoc,thu_tu,mo_ta,trang_thai,hieu_luc_tu,hieu_luc_den,don_vi_id_snapshot,created_by,created_at,updated_at,vi_tri_id,trang_thai_id,deleted_at,deleted_by,deleted_reason
01ab2237-f7d8-4c12-a85e-9c0452ed6aaf,2236fe1c-6896-4157-a310-ae0e094233f6,TPHT_000002,RS232/485 Converter,ae03f513-6763-46f8-913d-91a103966947,,t,,,hoat_dong,2026-07-11,,8b408897-b25d-4ece-91ba-d97dfacec283,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
01c8049d-aeaa-4b1d-a956-e1e7d51af704,5ae20f2b-30dc-409c-95db-68b98b79c94e,TPHT_000003,Thiết bị giao tiếp dữ liệu Advantech UNO-138,1ef69ec2-6298-4c48-b931-aea3fa48c0fc,,t,,,hoat_dong,2026-07-11,,f59bf0bd-520b-4245-80db-dc71b7187bf1,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
01f39b9d-cd42-4071-afee-bf876051f712,ce27df84-7054-4032-bfe7-efdb0bd119f4,TPHT_000004,Cắt sét nguồn AC,660f73b4-1975-4bde-8c87-810a23ef6e2c,,t,,,hoat_dong,2026-07-11,,581d9350-905f-46da-b45e-c2d8aba4d868,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
1709cfe9-37f1-4c84-b03a-6de056dac3c7,6c79f710-a99f-490f-b05c-276218edd4c0,TPHT_001071,Hệ thống chuyển mạch thoại (VCCS),,,t,,Model: MULTIFONO M800IP | Serial: 1603996-001 (phần chính); 1603976-001 (phần mở rộng) | Mục đích: Phục vụ điều hành bay | Nguồn: GP 5129/GP-CHK,hoat_dong,,,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,,2026-07-14 14:32:36.52979+00,2026-07-17 13:27:02.489939+00,e96be350-6615-441a-91f5-53ad976e91b3,,2026-07-17 13:27:02.489939+00,,
50419209-bfd0-4a25-a62a-0676c798a94d,727fa6bc-f62a-4414-bc9c-4c0c0c2b42ff,TPHT_001097,Hệ thống xử lý điện văn dịch vụ không lưu (AMHS),,,t,,"Model: Chuyển điện văn tự động | Serial: Chi tiết tại Phụ lục I kèm theo | Mục đích: Chuyển đổi và khai thác hệ thống, thiết bị đầu cuối AMHS phục vụ điều hành bay | Nguồn: GP 4217/GP-CHK",hoat_dong,,,581d9350-905f-46da-b45e-c2d8aba4d868,,2026-07-14 14:32:36.52979+00,2026-07-17 13:27:02.489939+00,e96be350-6615-441a-91f5-53ad976e91b3,,2026-07-17 13:27:02.489939+00,,
02c6af6b-ba50-4f00-bce8-d012c7fa18a1,ce27df84-7054-4032-bfe7-efdb0bd119f4,TPHT_000009,Cắt sét nguồn AC,660f73b4-1975-4bde-8c87-810a23ef6e2c,,t,,,hoat_dong,2026-07-11,,581d9350-905f-46da-b45e-c2d8aba4d868,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
035ae298-6c2f-4a5e-800a-98229b8b9182,2236fe1c-6896-4157-a310-ae0e094233f6,TPHT_000010,Bộ chuyển đổi AC/DC,accf1740-4c18-4b9a-895f-59d85ba593b5,,t,,,hoat_dong,2026-07-11,,8b408897-b25d-4ece-91ba-d97dfacec283,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
0381047c-f4a1-4290-ab5f-7375e2e32052,a0625061-0c6d-4e0b-b438-d696787ad746,TPHT_000011,Chống sét RF,660f73b4-1975-4bde-8c87-810a23ef6e2c,,t,,,hoat_dong,2026-07-11,,65ac5e26-b0a7-487e-a72d-3f0dfc3facc2,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
076b8859-a822-45a9-ae1c-8f55c48fedfe,ebc4a136-c5e7-4f7d-abfc-e3ddea655b8c,TPHT_000018,Chống sét RF,660f73b4-1975-4bde-8c87-810a23ef6e2c,,t,,,hoat_dong,2026-07-11,,46e84da7-5a8b-4a79-aa46-2fb4bae1ff26,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
0829f5f1-3dd3-4b1d-a5d6-01930f31cfad,a13f3116-f74d-4435-b248-5b458d9fead4,TPHT_000020,02 máy chủ loại CPU lắp rack 19” (rackmount server); CPU: Intel Xeon E-2434 / 3.4 GHz / 8M Cache / 4 Cores; Bộ nhớ RAM: 32 GB (2 x 16 GB) / 4800 MT/s / DDR5; Ổ cứng: 2 x 1920 GB (4 x 960 GB RAID-10) / SSD SATA Read Intensive 6Gbps /Hot-plug / 2.5”; Hệ điều hành: Microsoft Windows Server IoT 2022 Standard 5 CAL (Hệ điều hành có bản quyền vĩnh viễn (lifetime license),83e7d93e-2f76-4d4f-a6bc-08926383aba1,,t,,,hoat_dong,2026-07-11,,f59bf0bd-520b-4245-80db-dc71b7187bf1,,2026-07-13 14:15:40.080084+00,2026-07-17 02:25:30.805543+00,e96be350-6615-441a-91f5-53ad976e91b3,1ce915ed-07e9-4b65-9209-2652ffd9b681,,,
