role,module,action,allowed,updated_at,updated_by
admin,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,view,t,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,create,t,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,edit,t,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,delete,f,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,delete,f,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,delete,f,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,approve,t,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,approve,f,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,approve,t,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,approve,f,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,export,t,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,export,f,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,export,t,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,export,t,2026-07-14 08:18:51.879439+00,
admin,thiet_bi,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,thiet_bi,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,thiet_bi,import,f,2026-07-14 08:18:51.879439+00,
ktv,thiet_bi,import,f,2026-07-14 08:18:51.879439+00,
readonly,thiet_bi,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,thiet_bi,import,f,2026-07-14 08:18:51.879439+00,
to_truong,thiet_bi,import,f,2026-07-14 08:18:51.879439+00,
admin,he_thong,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,view,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,view,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,view,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,view,t,2026-07-14 08:18:51.879439+00,
admin,he_thong,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,create,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,create,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,create,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,create,t,2026-07-14 08:18:51.879439+00,
admin,he_thong,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,edit,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,edit,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,edit,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,edit,t,2026-07-14 08:18:51.879439+00,
admin,he_thong,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,delete,f,2026-07-14 08:18:51.879439+00,
ktv,he_thong,delete,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,delete,f,2026-07-14 08:18:51.879439+00,
admin,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,approve,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,approve,f,2026-07-14 08:18:51.879439+00,
admin,he_thong,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,export,t,2026-07-14 08:18:51.879439+00,
ktv,he_thong,export,f,2026-07-14 08:18:51.879439+00,
readonly,he_thong,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,he_thong,export,t,2026-07-14 08:18:51.879439+00,
to_truong,he_thong,export,t,2026-07-14 08:18:51.879439+00,
admin,he_thong,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,he_thong,import,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,he_thong,import,f,2026-07-14 08:18:51.879439+00,
ktv,he_thong,import,f,2026-07-14 08:18:51.879439+00,
