loai,id,ma,tieu_de,noi_dung,route,tsv,updated_at
dm_he_thong,0b7e4c54-e070-4966-a436-6ec34964c371,1440-0020,Hệ thống MSSR Sơn Trà 2,Hệ thống ra đa giám sát thứ cấp (MSSR) 0000 0110 (SIC),/he-thong/0b7e4c54-e070-4966-a436-6ec34964c371,"'-0020':2A '0000':18B '0110':19B '1440':1A '2':8A 'cap':16B 'da':12B 'giam':13B 'he':3A,9B 'mssr':5A,17B 'ra':11B 'sat':14B 'sic':20B 'son':6A 'thong':4A,10B 'thu':15B 'tra':7A",2026-07-16 03:53:14.154512+00
dm_he_thong,80c99472-da15-4433-934b-20349ce0e252,45050166,Hệ thống PSR Sơn Trà 1,Hệ thống ra đa giám sát sơ cấp (PSR) 0000 0010 (SIC),/he-thong/80c99472-da15-4433-934b-20349ce0e252,"'0000':17B '0010':18B '1':7A '45050166':1A 'cap':15B 'da':11B 'giam':12B 'he':2A,8B 'psr':4A,16B 'ra':10B 'sat':13B 'sic':19B 'so':14B 'son':5A 'thong':3A,9B 'tra':6A",2026-07-16 03:53:14.154512+00
dm_he_thong,fc3e7503-3a66-4f08-8fec-157327b85499,Máy chính: 021/32; Máy dự phòng: 019/32,Hệ thống SSR Sơn Trà 1,Hệ thống ra đa giám sát thứ cấp (SSR) 0000 0010 (SIC),/he-thong/fc3e7503-3a66-4f08-8fec-157327b85499,"'0000':23B '0010':24B '019/32':7A '021/32':3A '1':13A 'cap':21B 'chinh':2A 'da':17B 'du':5A 'giam':18B 'he':8A,14B 'may':1A,4A 'phong':6A 'ra':16B 'sat':19B 'sic':25B 'son':11A 'ssr':10A,22B 'thong':9A,15B 'thu':20B 'tra':12A",2026-07-16 03:53:14.154512+00
dm_he_thong,1b3bf7aa-db38-4e39-8990-37542b798b5f,6424049796870,Hệ thống VCCS 4G CLA,Hệ thống chuyển mạch thoại (VCCS) Không áp dụng,/he-thong/1b3bf7aa-db38-4e39-8990-37542b798b5f,"'4g':5A '6424049796870':1A 'ap':14B 'chuyen':9B 'cla':6A 'dung':15B 'he':2A,7B 'khong':13B 'mach':10B 'thoai':11B 'thong':3A,8B 'vccs':4A,12B",2026-07-17 07:05:58.26393+00
dm_he_thong,4fbd5536-e530-4f9b-97d3-d194186c33de,TX000843; 1M31X63,HỆ THỐNG AWOS IMS Chu Lai,Hệ thống quan trắc thời tiết tự động IMS Không áp dụng,/he-thong/4fbd5536-e530-4f9b-97d3-d194186c33de,"'1m31x63':2A 'ap':19B 'awos':5A 'chu':7A 'dong':16B 'dung':20B 'he':3A,9B 'ims':6A,17B 'khong':18B 'lai':8A 'quan':11B 'thoi':13B 'thong':4A,10B 'tiet':14B 'trac':12B 'tu':15B 'tx000843':1A",2026-07-16 03:53:14.154512+00
dm_he_thong,aaed0d44-f2d3-4e13-bc69-9198c8527c70,,Máy VHF UPKL PBA,"",/he-thong/aaed0d44-f2d3-4e13-bc69-9198c8527c70,'may':1A 'pba':4A 'upkl':3A 'vhf':2A,2026-07-17 07:05:58.26393+00
dm_he_thong,e2f73bec-33d4-43be-b628-2a40bdf01221,"Máy chính: 100107 (XU4200); máy dự phòng: 100231, 104268, 104270 (XU4200); 20939 (TA-7650), 21051 (RA-7203)",Hệ thống VHF 118.2 MHz CRA,Máy thu phát VHF thoại không - địa Không,/he-thong/e2f73bec-33d4-43be-b628-2a40bdf01221,"'-7203':17A '-7650':14A '100107':3A '100231':8A '104268':9A '104270':10A '118.2':21A '20939':12A '21051':15A 'chinh':2A 'cra':23A 'dia':30B 'du':6A 'he':18A 'khong':29B,31B 'may':1A,5A,24B 'mhz':22A 'phat':26B 'phong':7A 'ra':16A 'ta':13A 'thoai':28B 'thong':19A 'thu':25B 'vhf':20A,27B 'xu4200':4A,11A",2026-07-16 03:53:14.154512+00
dm_he_thong,6cba7a87-8f90-4d07-8bea-2f196ccfa6b6,Máy chính: 274264 (T6T); 274157 (T6R); Máy dự phòng: 274265 (T6T); 173704 (T6R); 274268 (T6TR); 104268 (XU4200),Hệ thống VHF 127.9 MHz CRA,Máy thu phát VHF thoại không - địa Không,/he-thong/6cba7a87-8f90-4d07-8bea-2f196ccfa6b6,"'104268':16A '127.9':21A '173704':12A '274157':5A '274264':3A '274265':10A '274268':14A 'chinh':2A 'cra':23A 'dia':30B 'du':8A 'he':18A 'khong':29B,31B 'may':1A,7A,24B 'mhz':22A 'phat':26B 'phong':9A 't6r':6A,13A 't6t':4A,11A 't6tr':15A 'thoai':28B 'thong':19A 'thu':25B 'vhf':20A,27B 'xu4200':17A",2026-07-16 03:53:14.154512+00
dm_he_thong,38cbcd04-2410-4ada-93ab-35156e468f9e,"Máy chính: 166197 (T6T), 166180 (T6R); máy dự phòng: 166194 (T6T), 166182 (T6R); 19715 (TA-7650), 19742 (RA-7203); 12786, 12335 (IC-A200)",Hệ thống VHF 121.5 MHz THA,Máy thu phát VHF thoại không - địa Không,/he-thong/38cbcd04-2410-4ada-93ab-35156e468f9e,"'-7203':19A '-7650':16A '121.5':28A '12335':21A '12786':20A '166180':5A '166182':12A '166194':10A '166197':3A '19715':14A '19742':17A 'a200':24A 'chinh':2A 'dia':37B 'du':8A 'he':25A 'ic':23A 'ic-a200':22A 'khong':36B,38B 'may':1A,7A,31B 'mhz':29A 'phat':33B 'phong':9A 'ra':18A 't6r':6A,13A 't6t':4A,11A 'ta':15A 'tha':30A 'thoai':35B 'thong':26A 'thu':32B 'vhf':27A,34B",2026-07-16 03:53:14.154512+00
dm_he_thong,0ce7ee20-8254-4462-a388-b0a989109c17,"Máy chính: 274266 (T6T); 274159 (T6R). Máy dự phòng: 274267 (T6T), 274156 (T6R), 20939 (TA-7650), 21051 (RA-7203), 274268 (T6TR); 104270, 104268 (XU4200)",Hệ thống VHF 124.35 MHz CRA,Máy thu phát VHF thoại không - địa Không,/he-thong/0ce7ee20-8254-4462-a388-b0a989109c17,"'-7203':19A '-7650':16A '104268':23A '104270':22A '124.35':28A '20939':14A '21051':17A '274156':12A '274159':5A '274266':3A '274267':10A '274268':20A 'chinh':2A 'cra':30A 'dia':37B 'du':8A 'he':25A 'khong':36B,38B 'may':1A,7A,31B 'mhz':29A 'phat':33B 'phong':9A 'ra':18A 't6r':6A,13A 't6t':4A,11A 't6tr':21A 'ta':15A 'thoai':35B 'thong':26A 'thu':32B 'vhf':27A,34B 'xu4200':24A",2026-07-16 03:53:14.154512+00
