id,thiet_bi_id,tu_trang_thai_id,den_trang_thai_id,thoi_diem,ly_do,nguoi_thuc_hien,created_at
f43274b5-7f65-4ece-8446-291bd424e1b3,df8bf62b-70ba-467b-9018-6b9220ca3125,99ac0a0f-c016-44e0-b4b3-b081b59de2f0,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:06:49.60935+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:06:49.60935+00
be7a5460-b4cd-4314-a3d4-2aa32b0d4a86,df8bf62b-70ba-467b-9018-6b9220ca3125,99ac0a0f-c016-44e0-b4b3-b081b59de2f0,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:06:49.60935+00,Tháo khỏi vị trí chức năng: tháo,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:06:49.60935+00
8715c59b-3908-4fee-9bd3-82a36d04e86d,df8bf62b-70ba-467b-9018-6b9220ca3125,80e4c431-d6ed-488c-b28d-eea6953c554e,,2026-07-14 08:07:43.173814+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:07:43.173814+00
7db46686-bf1d-4852-8be9-c2e6c31694fa,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 08:10:54.535564+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:10:54.535564+00
ed50c6ce-0fa0-4f9e-a116-e6a345e941d1,417c50a6-0991-42eb-bfab-1dd19bf62864,,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:10:54.535564+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:10:54.535564+00
924857cb-2498-4585-a368-8da3db91c661,417c50a6-0991-42eb-bfab-1dd19bf62864,,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:10:54.535564+00,Tháo khỏi vị trí chức năng: thay thế,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:10:54.535564+00
682172cd-14e7-4cfe-828a-cbb5bedc5792,a6aea377-901a-4df8-9c89-0719e5a65c40,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 08:10:54.827678+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:10:54.827678+00
f68d44c8-6e08-4207-b87b-c41b21c55163,a6aea377-901a-4df8-9c89-0719e5a65c40,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 08:10:54.827678+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:10:54.827678+00
a9a56a72-1df9-46ef-8cea-bf4631577d59,9ad20d0c-49af-472d-b242-ced93c9838a2,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 08:47:56.749305+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:47:56.749305+00
ed2a4c81-4cce-4e05-a772-e510a1f1d250,9ad20d0c-49af-472d-b242-ced93c9838a2,,c479a7be-b003-484d-bf1b-a7a250623bb5,2026-07-14 08:47:56.749305+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:47:56.749305+00
32fe572a-8cc3-47af-90a2-5249cb2f6431,9ad20d0c-49af-472d-b242-ced93c9838a2,,c479a7be-b003-484d-bf1b-a7a250623bb5,2026-07-14 08:47:56.749305+00,Thay thế do hỏng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:47:56.749305+00
2cd41c81-b117-4f02-8c36-facdc7ec306a,417c50a6-0991-42eb-bfab-1dd19bf62864,80e4c431-d6ed-488c-b28d-eea6953c554e,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 08:47:56.749305+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:47:56.749305+00
1c423dfd-e1fc-4f5c-aaa7-659341e15f75,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 08:47:56.749305+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:47:56.749305+00
c011dfc8-5b2b-42bd-adbb-75728ab958c1,a6aea377-901a-4df8-9c89-0719e5a65c40,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 08:48:47.231048+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:48:47.231048+00
d18c7a64-c94d-436a-a0ff-f7dc6bae7586,a6aea377-901a-4df8-9c89-0719e5a65c40,,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:48:47.231048+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:48:47.231048+00
c09a3824-96f9-46bd-bead-1fb224a49c93,a6aea377-901a-4df8-9c89-0719e5a65c40,,80e4c431-d6ed-488c-b28d-eea6953c554e,2026-07-14 08:48:47.231048+00,Tháo khỏi vị trí chức năng: tháo,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:48:47.231048+00
2925c8f1-3ed9-4e2f-a0e8-5c3cee5c785a,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 08:52:54.732226+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:52:54.732226+00
628805af-ee00-40eb-94ab-22297ecab6b7,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 08:52:54.732226+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 08:52:54.732226+00
38513c6e-a265-42f5-8da9-89320598c95d,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 09:00:26.309803+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:00:26.309803+00
74a642c8-4870-404c-aa51-88cb50e69f80,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:00:26.309803+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:00:26.309803+00
17e54bd7-bfc7-469d-8548-d90f953d1a43,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 09:00:51.584829+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:00:51.584829+00
d9da2bc4-e047-498c-ba30-da9a738c1430,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:00:51.584829+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:00:51.584829+00
b6542a0a-af4d-4862-885c-1eb75b85174a,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 09:01:17.508482+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:01:17.508482+00
ef004b55-cbaa-4d85-afed-8dc7a3a2afe4,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:01:17.508482+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:01:17.508482+00
0d11015f-c801-4cb2-a2f3-d918a6e6b90e,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 09:05:00.927692+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:05:00.927692+00
1e2a6787-df5e-4f03-9732-fe9086f1f1c1,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:05:00.927692+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:05:00.927692+00
8781e1d6-2f65-4184-8290-d9189a3d2726,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,,2026-07-14 09:06:26.421289+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:06:26.421289+00
8ac48587-4a19-463c-a6e6-b6cf43ae3c83,417c50a6-0991-42eb-bfab-1dd19bf62864,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:06:26.421289+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:06:26.421289+00
c3aa93b6-18ca-4e55-9ef4-ddf47233283c,417c50a6-0991-42eb-bfab-1dd19bf62864,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:10:52.876501+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:10:52.876501+00
83acdaa4-fbf5-4530-8873-f03b911cef1d,a6aea377-901a-4df8-9c89-0719e5a65c40,80e4c431-d6ed-488c-b28d-eea6953c554e,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:11:31.985135+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:11:31.985135+00
bd443a66-0833-4804-9d64-2e376e6398d0,a6aea377-901a-4df8-9c89-0719e5a65c40,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-14 09:11:31.985135+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-14 09:11:31.985135+00
87e40e36-4817-4bfa-8190-20234dab232a,048063f2-acc0-40fe-abf9-d24001f47b2e,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-15 03:52:12.992801+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 03:52:12.992801+00
d461ba70-af2d-4003-8ef6-174afc1ab65b,df8bf62b-70ba-467b-9018-6b9220ca3125,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-15 06:55:08.029219+00,,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 06:55:08.029219+00
d990f2d3-cf82-4425-b3b9-e6d966f9e773,df8bf62b-70ba-467b-9018-6b9220ca3125,,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-15 06:55:08.029219+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 06:55:08.029219+00
8a87c7ec-8904-4901-8ef9-0d1e5c7dd77b,df8bf62b-70ba-467b-9018-6b9220ca3125,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-15 06:56:20.316522+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 06:56:20.316522+00
d6964416-c416-4d18-9c78-961851efc79e,abb953ef-31a2-45a4-90bf-5e0cfcc582b9,1ce915ed-07e9-4b65-9209-2652ffd9b681,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-15 09:17:14.867437+00,Lắp vào vị trí chức năng,201c530d-d2f1-4683-a888-5e42b77a95c6,2026-07-15 09:17:14.867437+00
0873e44a-7036-4efb-be37-29e3a783b0bd,0014b460-6a19-40bb-ac02-1706d6052a2f,1ce915ed-07e9-4b65-9209-2652ffd9b681,c479a7be-b003-484d-bf1b-a7a250623bb5,2026-07-17 08:22:57.729721+00,,7b178d3c-127b-4bdd-a77c-a3013cdf365b,2026-07-17 08:22:57.729721+00
a38f8bce-c404-44df-b833-ff7e1a01f34c,0014b460-6a19-40bb-ac02-1706d6052a2f,1ce915ed-07e9-4b65-9209-2652ffd9b681,c479a7be-b003-484d-bf1b-a7a250623bb5,2026-07-17 08:22:57.729721+00,Thay thế do hỏng,7b178d3c-127b-4bdd-a77c-a3013cdf365b,2026-07-17 08:22:57.729721+00
bc225f4b-cdbc-47b8-844a-cb9615c43170,9ad20d0c-49af-472d-b242-ced93c9838a2,c479a7be-b003-484d-bf1b-a7a250623bb5,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-17 08:22:57.729721+00,,7b178d3c-127b-4bdd-a77c-a3013cdf365b,2026-07-17 08:22:57.729721+00
b7dc7aee-d6f0-4512-815d-ac73a6d7389e,9ad20d0c-49af-472d-b242-ced93c9838a2,c479a7be-b003-484d-bf1b-a7a250623bb5,1ce915ed-07e9-4b65-9209-2652ffd9b681,2026-07-17 08:22:57.729721+00,Lắp vào vị trí chức năng,7b178d3c-127b-4bdd-a77c-a3013cdf365b,2026-07-17 08:22:57.729721+00
f08d2a98-e5db-41ed-b3c4-465ecb5b59c4,9ad20d0c-49af-472d-b242-ced93c9838a2,1ce915ed-07e9-4b65-9209-2652ffd9b681,c479a7be-b003-484d-bf1b-a7a250623bb5,2026-07-17 08:23:35.14695+00,,7b178d3c-127b-4bdd-a77c-a3013cdf365b,2026-07-17 08:23:35.14695+00
