id,loai,doi_tuong_bang,doi_tuong_ref,don_vi_id,muc_do,nguong,tieu_de,noi_dung,den_han_at,khoa_chong_trung,da_doc,da_doc_at,da_doc_boi,kenh,email_queued,nguoi_nhan,created_at,updated_at
bb845508-ff7e-48f9-8121-ba738b39f219,giay_phep,giay_phep,d5cc0b41-cc35-48cc-b5dc-1d8168fdb21f,b91944b0-f556-47dd-ae34-c9c8368a18fc,overdue,,[Quá hạn] Giấy phép: 1970/GP-CHK,"Giấy phép ""1970/GP-CHK"" đã quá hạn 120 ngày (hết hạn 2026-04-24).",2026-04-24,giay_phep|d5cc0b41-cc35-48cc-b5dc-1d8168fdb21f|2026-04-24|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
d8dbcf2e-08c2-4eb1-a81d-d7f1ed84f823,giay_phep,giay_phep,c6553354-ab1c-4ceb-8748-4689f72e9a15,b91944b0-f556-47dd-ae34-c9c8368a18fc,overdue,,[Quá hạn] Giấy phép: 1977/GP-CHK,"Giấy phép ""1977/GP-CHK"" đã quá hạn 120 ngày (hết hạn 2026-04-24).",2026-04-24,giay_phep|c6553354-ab1c-4ceb-8748-4689f72e9a15|2026-04-24|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
cdc5bd57-3cb3-4c9e-a0e8-822b57467971,giay_phep,giay_phep,014957bb-6fda-47ab-a070-45601341db87,65ac5e26-b0a7-487e-a72d-3f0dfc3facc2,overdue,,[Quá hạn] Giấy phép: 2141/GP-CHK,"Giấy phép ""2141/GP-CHK"" đã quá hạn 111 ngày (hết hạn 2026-05-03).",2026-05-03,giay_phep|014957bb-6fda-47ab-a070-45601341db87|2026-05-03|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
ef52d08a-c781-4e86-9445-0cfe33b15254,giay_phep,giay_phep,b9080fd7-3db4-4054-8386-c78873e5308d,46e84da7-5a8b-4a79-aa46-2fb4bae1ff26,overdue,,[Quá hạn] Giấy phép: 2145/GP-CHK,"Giấy phép ""2145/GP-CHK"" đã quá hạn 111 ngày (hết hạn 2026-05-03).",2026-05-03,giay_phep|b9080fd7-3db4-4054-8386-c78873e5308d|2026-05-03|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
f0c65ec2-f13b-4e8b-be15-71982663d41c,giay_phep,giay_phep,0d98b960-6962-4136-a92f-ac7a0a20be7a,8b408897-b25d-4ece-91ba-d97dfacec283,overdue,,[Quá hạn] Giấy phép: 2146/GP-CHK,"Giấy phép ""2146/GP-CHK"" đã quá hạn 111 ngày (hết hạn 2026-05-03).",2026-05-03,giay_phep|0d98b960-6962-4136-a92f-ac7a0a20be7a|2026-05-03|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
7a955d1c-128c-4f3e-af2d-7b95e365310a,giay_phep,giay_phep,8e7c2adb-6a43-4f72-907a-d2cbe382471d,c3231147-e403-4afa-838f-04026ffa8f7d,overdue,,[Quá hạn] Giấy phép: 2660/GP-CHK,"Giấy phép ""2660/GP-CHK"" đã quá hạn 71 ngày (hết hạn 2026-06-12).",2026-06-12,giay_phep|8e7c2adb-6a43-4f72-907a-d2cbe382471d|2026-06-12|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
5e653d3d-1636-4003-8c4c-a2d739e9a78f,giay_phep,giay_phep,82177623-b16a-490a-bc4c-e23476fd35ad,c3231147-e403-4afa-838f-04026ffa8f7d,overdue,,[Quá hạn] Giấy phép: 2700/GP-CHK,"Giấy phép ""2700/GP-CHK"" đã quá hạn 71 ngày (hết hạn 2026-06-12).",2026-06-12,giay_phep|82177623-b16a-490a-bc4c-e23476fd35ad|2026-06-12|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
2f8c2d5c-2e09-430e-95f5-40a1eeb810f5,giay_phep,giay_phep,9ddd7ecc-d3c2-4041-b295-f3a4f780c289,e43c5d4b-3c3c-4486-89da-73e9ac747ab4,overdue,,[Quá hạn] Giấy phép: 3314/GP-CHK,"Giấy phép ""3314/GP-CHK"" đã quá hạn 38 ngày (hết hạn 2026-07-15).",2026-07-15,giay_phep|9ddd7ecc-d3c2-4041-b295-f3a4f780c289|2026-07-15|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
97d53e1c-d0f5-4caa-8e3d-5ad69a7258a5,giay_phep,giay_phep,ea4704fc-d736-4fbe-bdcc-e54e708b991d,b91944b0-f556-47dd-ae34-c9c8368a18fc,overdue,,[Quá hạn] Giấy phép: 2955/GP-CHK,"Giấy phép ""2955/GP-CHK"" đã quá hạn 30 ngày (hết hạn 2026-07-23).",2026-07-23,giay_phep|ea4704fc-d736-4fbe-bdcc-e54e708b991d|2026-07-23|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
cd8485b2-01e0-49f5-928b-c6fa4ec13487,giay_phep,giay_phep,e5bec39c-960b-47dd-bf57-0086652e7b64,581d9350-905f-46da-b45e-c2d8aba4d868,overdue,,[Quá hạn] Giấy phép: 3621/GP-CHK,"Giấy phép ""3621/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|e5bec39c-960b-47dd-bf57-0086652e7b64|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
b4e27fda-e3d4-44d9-adf1-0e16be1cd5b9,giay_phep,giay_phep,22cc6e40-864a-4672-9da2-560b45eab96c,581d9350-905f-46da-b45e-c2d8aba4d868,overdue,,[Quá hạn] Giấy phép: 3622/GP-CHK,"Giấy phép ""3622/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|22cc6e40-864a-4672-9da2-560b45eab96c|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
67ed1147-fd79-444a-b7d7-b8f594a67371,giay_phep,giay_phep,008dcc33-2fa7-4031-af24-b5fb7654d077,581d9350-905f-46da-b45e-c2d8aba4d868,overdue,,[Quá hạn] Giấy phép: 3623/GP-CHK,"Giấy phép ""3623/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|008dcc33-2fa7-4031-af24-b5fb7654d077|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
85b4d8ae-49ae-44d7-9c91-035751203feb,giay_phep,giay_phep,b3a72090-e8e6-4f52-a55a-36f67f1a95ce,8b408897-b25d-4ece-91ba-d97dfacec283,overdue,,[Quá hạn] Giấy phép: 3619/GP-CHK,"Giấy phép ""3619/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|b3a72090-e8e6-4f52-a55a-36f67f1a95ce|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
3d03d72b-acfc-4c82-9f44-482cdcbbb076,giay_phep,giay_phep,820e8599-d263-454f-8596-f26d1c84499f,8b408897-b25d-4ece-91ba-d97dfacec283,overdue,,[Quá hạn] Giấy phép: 3620/GP-CHK,"Giấy phép ""3620/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|820e8599-d263-454f-8596-f26d1c84499f|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
ec28fb04-b47e-4879-a055-c7b0ef3cc35c,giay_phep,giay_phep,f9738389-2a68-4e53-8c94-96656243776d,8b408897-b25d-4ece-91ba-d97dfacec283,overdue,,[Quá hạn] Giấy phép: 3624/GP-CHK,"Giấy phép ""3624/GP-CHK"" đã quá hạn 28 ngày (hết hạn 2026-07-25).",2026-07-25,giay_phep|f9738389-2a68-4e53-8c94-96656243776d|2026-07-25|overdue,f,,,"{""email"": false, ""in_app"": true}",f,,2026-08-22 04:22:14.503033+00,2026-08-22 04:22:14.503033+00
