user_id,key,value,updated_at
e525bc1c-daf9-4793-baf9-d7b3ed0eef74,danh-muc-tb:edit-mode,false,2026-08-17 02:03:26.985605+00
e525bc1c-daf9-4793-baf9-d7b3ed0eef74,ui-density,"""comfortable""",2026-08-17 03:04:15.617589+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,dashboard:overview:tab,"""van-hanh""",2026-09-01 03:07:17.811373+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,dashboard:main-chart-tab,"""trend""",2026-08-12 03:24:10.616998+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,he-thong:display,"""tree""",2026-08-12 07:44:42.439351+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,danh-muc-tb:edit-mode,false,2026-08-19 08:01:30.78396+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,ui-density,"""comfortable""",2026-08-23 08:55:58.143795+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,he-thong:edit-mode,false,2026-08-25 07:46:23.310697+00
ed13781e-f348-4a11-84a6-d876687b1c22,dashboard:layout:home,"[{""w"": 6, ""id"": ""w2"", ""type"": ""mttr-kpi"", ""title"": ""MTTR""}, {""w"": 6, ""id"": ""w3"", ""type"": ""mtbf-kpi"", ""title"": ""MTBF""}, {""w"": 6, ""id"": ""w4"", ""type"": ""pm-kpi"", ""title"": ""PM Completion""}, {""w"": 4, ""id"": ""w5"", ""type"": ""emergency-kpi"", ""title"": ""Khẩn cấp""}, {""w"": 4, ""id"": ""w6"", ""type"": ""pm-due-kpi"", ""title"": ""Đến hạn PM""}, {""w"": 4, ""id"": ""w7"", ""type"": ""pm-overdue-kpi"", ""title"": ""PM Quá hạn""}, {""w"": 12, ""id"": ""w8"", ""type"": ""su-co-trend"", ""title"": ""Xu hướng sự cố""}, {""w"": 6, ""id"": ""w9"", ""type"": ""health-donut"", ""title"": ""Sức khỏe""}, {""w"": 6, ""id"": ""w10"", ""type"": ""asset-type-bar"", ""title"": ""Phân loại""}, {""w"": 4, ""id"": ""w11"", ""type"": ""completeness-gauge"", ""title"": ""Hồ sơ""}, {""w"": 8, ""id"": ""w12"", ""type"": ""live-timeline"", ""title"": ""Nhật ký""}]",2026-08-16 17:22:01.633196+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,thanh-phan:view-mode,"""component""",2026-08-31 13:31:52.22579+00
8a45a82a-3774-4a22-b93c-1c9a2ab9c9dc,dashboard:layout:home,"[{""w"": 6, ""id"": ""w1"", ""type"": ""reliability-kpi"", ""title"": ""Độ sẵn sàng""}, {""w"": 6, ""id"": ""w2"", ""type"": ""mttr-kpi"", ""title"": ""MTTR""}, {""w"": 6, ""id"": ""w3"", ""type"": ""mtbf-kpi"", ""title"": ""MTBF""}, {""w"": 6, ""id"": ""w4"", ""type"": ""pm-kpi"", ""title"": ""PM Completion""}, {""w"": 4, ""id"": ""w5"", ""type"": ""emergency-kpi"", ""title"": ""Khẩn cấp""}, {""w"": 4, ""id"": ""w6"", ""type"": ""pm-due-kpi"", ""title"": ""Đến hạn PM""}, {""w"": 4, ""id"": ""w7"", ""type"": ""pm-overdue-kpi"", ""title"": ""PM Quá hạn""}, {""w"": 12, ""id"": ""w8"", ""type"": ""su-co-trend"", ""title"": ""Xu hướng sự cố""}, {""w"": 6, ""id"": ""w9"", ""type"": ""health-donut"", ""title"": ""Sức khỏe""}, {""w"": 6, ""id"": ""w10"", ""type"": ""asset-type-bar"", ""title"": ""Phân loại""}, {""w"": 4, ""id"": ""w11"", ""type"": ""completeness-gauge"", ""title"": ""Hồ sơ""}, {""w"": 8, ""id"": ""w12"", ""type"": ""live-timeline"", ""title"": ""Nhật ký""}]",2026-08-21 15:26:14.127626+00
